epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.098694235,0.3238095238,1.098703324,0.375,1.09867917,0.1904761905,0.029488
2,1.098690076,0.3238095238,1.098699287,0.375,1.09867631,0.1904761905,0.017730
3,1.098685916,0.3142857143,1.098695249,0.375,1.098673451,0.1904761905,0.009561
4,1.098681757,0.3142857143,1.098691211,0.375,1.098670591,0.1904761905,0.010384
5,1.098677598,0.3142857143,1.098687173,0.3333333333,1.098667732,0.2380952381,0.012415
6,1.098673438,0.3238095238,1.098683136,0.375,1.098664873,0.2380952381,0.010491
7,1.098669279,0.3238095238,1.098679098,0.375,1.098662014,0.1904761905,0.010767
8,1.09866512,0.3238095238,1.098675061,0.375,1.098659155,0.1904761905,0.010915
9,1.098660961,0.3238095238,1.098671024,0.375,1.098656295,0.2380952381,0.011177
10,1.098656802,0.3333333333,1.098666986,0.375,1.098653437,0.2380952381,0.011225
11,1.098652643,0.3428571429,1.098662949,0.375,1.098650578,0.2857142857,0.012250
12,1.098648485,0.3523809524,1.098658912,0.375,1.098647719,0.2857142857,0.010816
13,1.098644326,0.3523809524,1.098654875,0.375,1.09864486,0.2857142857,0.011849
14,1.098640168,0.3523809524,1.098650838,0.375,1.098642001,0.2857142857,0.012024
15,1.098636009,0.3523809524,1.098646801,0.375,1.098639143,0.2380952381,0.009651
16,1.098631851,0.3523809524,1.098642764,0.375,1.098636284,0.2380952381,0.012158
17,1.098627692,0.3523809524,1.098638727,0.3333333333,1.098633426,0.2857142857,0.010272
18,1.098623534,0.3523809524,1.098634691,0.375,1.098630567,0.2857142857,0.013258
19,1.098619376,0.3714285714,1.098630654,0.375,1.098627709,0.2857142857,0.010499
20,1.098615218,0.3619047619,1.098626617,0.375,1.098624851,0.2857142857,0.011061
21,1.09861106,0.3619047619,1.098622581,0.375,1.098621992,0.2857142857,0.013495
22,1.098606902,0.3619047619,1.098618545,0.375,1.098619134,0.2857142857,0.010957
23,1.098602744,0.3619047619,1.098614508,0.375,1.098616276,0.2857142857,0.037811
24,1.098598587,0.3619047619,1.098610472,0.375,1.098613418,0.2857142857,0.225656
25,1.098594429,0.3714285714,1.098606436,0.375,1.09861056,0.2857142857,0.032073
26,1.098590271,0.3714285714,1.0986024,0.4166666667,1.098607702,0.3333333333,0.024477
27,1.098586114,0.3714285714,1.098598364,0.4166666667,1.098604845,0.3333333333,0.035263
28,1.098581957,0.380952381,1.098594328,0.4166666667,1.098601987,0.3333333333,0.012207
29,1.098577799,0.380952381,1.098590292,0.4166666667,1.098599129,0.380952381,0.016438
