epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.098694235,0.3333333333,1.098701128,0.375,1.098675858,0.2380952381,0.443148
2,1.098687697,0.3333333333,1.098694913,0.375,1.098669716,0.2380952381,0.164344
3,1.098681183,0.3428571429,1.098688717,0.375,1.0986636,0.2380952381,0.376261
4,1.098674691,0.3428571429,1.098682541,0.375,1.098657512,0.2380952381,0.132468
5,1.098668221,0.3428571429,1.098676382,0.375,1.09865145,0.2380952381,0.360918
6,1.098661773,0.3619047619,1.098670241,0.375,1.098645413,0.2380952381,0.121062
7,1.098655346,0.3619047619,1.098664118,0.4166666667,1.098639402,0.2857142857,0.360926
8,1.09864894,0.3619047619,1.098658011,0.4166666667,1.098633416,0.2857142857,0.120301
9,1.098642553,0.3714285714,1.098651921,0.4166666667,1.098627454,0.2857142857,0.352904
10,1.098636186,0.3714285714,1.098645846,0.4166666667,1.098621515,0.2857142857,0.123410
11,1.098629838,0.3714285714,1.098639787,0.4166666667,1.098615599,0.2857142857,0.354622
12,1.098623509,0.3714285714,1.098633742,0.4166666667,1.098609706,0.3333333333,0.123411
13,1.098617197,0.3714285714,1.098627711,0.4166666667,1.098603835,0.3333333333,0.356615
14,1.098610902,0.380952381,1.098621694,0.4166666667,1.098597986,0.3333333333,0.117412
15,1.098604625,0.380952381,1.09861569,0.4166666667,1.098592157,0.3333333333,0.352677
16,1.098598363,0.3714285714,1.098609699,0.4166666667,1.098586349,0.3333333333,0.121326
17,1.098592118,0.3619047619,1.098603721,0.4166666667,1.098580561,0.3333333333,0.355876
18,1.098585888,0.380952381,1.098597754,0.4166666667,1.098574792,0.3333333333,0.122797
19,1.098579672,0.380952381,1.098591798,0.4166666667,1.098569042,0.3333333333,0.356147
20,1.098573471,0.380952381,1.098585853,0.4583333333,1.098563311,0.3333333333,0.116946
21,1.098567283,0.380952381,1.098579918,0.4583333333,1.098557597,0.3333333333,0.359048
22,1.098561109,0.380952381,1.098573994,0.4583333333,1.0985519,0.3333333333,0.120592
23,1.098554947,0.3904761905,1.098568078,0.4583333333,1.098546221,0.380952381,0.354352
24,1.098548797,0.3904761905,1.098562171,0.4583333333,1.098540558,0.380952381,0.123487
25,1.098542659,0.3904761905,1.098556273,0.4583333333,1.09853491,0.380952381,0.356100
26,1.098536533,0.3904761905,1.098550383,0.4583333333,1.098529278,0.380952381,0.117334
27,1.098530417,0.3904761905,1.0985445,0.5,1.098523661,0.380952381,0.361997
28,1.098524311,0.4,1.098538624,0.5,1.098518058,0.380952381,0.117728
29,1.098518215,0.419047619,1.098532755,0.5,1.098512469,0.4285714286,0.356101
30,1.098512128,0.419047619,1.098526891,0.5,1.098506893,0.4285714286,0.122391
31,1.09850605,0.419047619,1.098521033,0.5,1.09850133,0.4285714286,0.354716
32,1.09849998,0.419047619,1.098515181,0.5,1.098495779,0.4761904762,0.119255
33,1.098493918,0.419047619,1.098509333,0.5,1.098490241,0.4761904762,0.358903
34,1.098487863,0.419047619,1.098503489,0.5,1.098484713,0.4761904762,0.122238
35,1.098481815,0.419047619,1.098497648,0.5,1.098479196,0.4761904762,0.356329
36,1.098475773,0.4380952381,1.098491811,0.5416666667,1.09847369,0.5238095238,0.120943
37,1.098469737,0.4380952381,1.098485977,0.5416666667,1.098468193,0.5238095238,0.355666
38,1.098463706,0.4380952381,1.098480145,0.5416666667,1.098462706,0.5238095238,0.118296
39,1.09845768,0.4380952381,1.098474315,0.5416666667,1.098457228,0.5238095238,0.354856
40,1.098451658,0.4380952381,1.098468486,0.5416666667,1.098451757,0.5238095238,0.121695
41,1.09844564,0.4380952381,1.098462659,0.5416666667,1.098446295,0.5714285714,0.356763
42,1.098439626,0.4285714286,1.098456831,0.5416666667,1.09844084,0.5714285714,0.119082
43,1.098433614,0.4285714286,1.098451004,0.5416666667,1.098435392,0.5714285714,0.357205
44,1.098427605,0.4380952381,1.098445176,0.5416666667,1.098429951,0.5714285714,0.116799
45,1.098421597,0.4380952381,1.098439347,0.5416666667,1.098424515,0.5714285714,0.352035
46,1.098415591,0.4380952381,1.098433517,0.5416666667,1.098419085,0.619047619,0.124084
47,1.098409586,0.4476190476,1.098427685,0.5,1.098413659,0.5714285714,0.360735
48,1.098403581,0.4571428571,1.098421851,0.5,1.098408238,0.5714285714,0.116996
49,1.098397576,0.4666666667,1.098416014,0.5416666667,1.098402821,0.5714285714,0.353945
50,1.098391571,0.4666666667,1.098410174,0.5416666667,1.098397407,0.5714285714,0.120933
51,1.098385564,0.4857142857,1.09840433,0.5416666667,1.098391996,0.5714285714,0.362804
52,1.098379557,0.5047619048,1.098398482,0.5416666667,1.098386588,0.5714285714,0.121049
53,1.098373547,0.5333333333,1.098392629,0.5416666667,1.098381181,0.5238095238,0.351588
54,1.098367534,0.5333333333,1.098386771,0.5416666667,1.098375776,0.5238095238,0.122070
55,1.098361519,0.5333333333,1.098380908,0.5416666667,1.098370372,0.5238095238,0.357658
56,1.0983555,0.5428571429,1.098375038,0.5833333333,1.098364969,0.5238095238,0.119621
57,1.098349478,0.5428571429,1.098369163,0.5833333333,1.098359565,0.5714285714,0.355245
58,1.098343451,0.5428571429,1.09836328,0.5833333333,1.09835416,0.5714285714,0.120032
59,1.098337419,0.5428571429,1.09835739,0.5833333333,1.098348755,0.5714285714,0.356761
60,1.098331381,0.5619047619,1.098351492,0.5833333333,1.098343348,0.5714285714,0.126952
61,1.098325338,0.5619047619,1.098345585,0.5833333333,1.098337939,0.619047619,0.352745
62,1.098319288,0.5619047619,1.09833967,0.5833333333,1.098332527,0.619047619,0.120685
63,1.098313232,0.5619047619,1.098333746,0.5833333333,1.098327112,0.619047619,0.358114
64,1.098307168,0.5619047619,1.098327811,0.5833333333,1.098321693,0.619047619,0.118860
65,1.098301096,0.5619047619,1.098321867,0.5833333333,1.098316271,0.619047619,0.356474
66,1.098295016,0.5619047619,1.098315912,0.5833333333,1.098310843,0.619047619,0.116971
67,1.098288927,0.5714285714,1.098309945,0.5833333333,1.098305411,0.619047619,0.350176
68,1.098282828,0.580952381,1.098303967,0.5833333333,1.098299973,0.619047619,0.124361
69,1.09827672,0.580952381,1.098297977,0.625,1.098294528,0.619047619,0.355609
70,1.098270601,0.5904761905,1.098291974,0.625,1.098289077,0.619047619,0.119534
71,1.098264472,0.5904761905,1.098285958,0.625,1.098283619,0.619047619,0.362958
72,1.098258331,0.5904761905,1.098279929,0.6666666667,1.098278153,0.6666666667,0.118361
73,1.098252178,0.6,1.098273885,0.6666666667,1.098272678,0.6666666667,0.355210
74,1.098246013,0.6,1.098267827,0.6666666667,1.098267195,0.6666666667,0.129608
75,1.098239835,0.6095238095,1.098261754,0.6666666667,1.098261702,0.6666666667,0.354687
76,1.098233643,0.6285714286,1.098255665,0.6666666667,1.098256199,0.6666666667,0.124142
77,1.098227438,0.6285714286,1.09824956,0.6666666667,1.098250686,0.6666666667,0.356280
78,1.098221218,0.619047619,1.098243439,0.6666666667,1.098245162,0.6666666667,0.116382
79,1.098214983,0.619047619,1.098237301,0.6666666667,1.098239627,0.6666666667,0.357081
80,1.098208733,0.619047619,1.098231145,0.6666666667,1.098234079,0.6666666667,0.118589
81,1.098202466,0.619047619,1.098224971,0.6666666667,1.098228519,0.6666666667,0.363250
82,1.098196183,0.619047619,1.098218778,0.6666666667,1.098222945,0.619047619,0.117059
83,1.098189883,0.619047619,1.098212566,0.6666666667,1.098217358,0.619047619,0.354606
84,1.098183565,0.619047619,1.098206335,0.6666666667,1.098211756,0.619047619,0.123608
85,1.098177229,0.6285714286,1.098200084,0.6666666667,1.09820614,0.619047619,0.356177
86,1.098170875,0.619047619,1.098193812,0.6666666667,1.098200508,0.619047619,0.116698
87,1.098164501,0.619047619,1.098187519,0.6666666667,1.09819486,0.619047619,0.358332
88,1.098158107,0.619047619,1.098181204,0.6666666667,1.098189195,0.619047619,0.122286
89,1.098151693,0.6380952381,1.098174867,0.6666666667,1.098183514,0.619047619,0.357372
90,1.098145258,0.6476190476,1.098168507,0.6666666667,1.098177814,0.619047619,0.122359
91,1.098138802,0.6476190476,1.098162124,0.6666666667,1.098172096,0.619047619,0.355691
92,1.098132323,0.6476190476,1.098155718,0.6666666667,1.09816636,0.619047619,0.119524
93,1.098125822,0.6476190476,1.098149287,0.6666666667,1.098160603,0.619047619,0.356502
94,1.098119298,0.6476190476,1.098142831,0.6666666667,1.098154827,0.619047619,0.120016
95,1.09811275,0.6476190476,1.098136349,0.6666666667,1.09814903,0.6666666667,0.358707
96,1.098106178,0.6476190476,1.098129842,0.6666666667,1.098143212,0.6666666667,0.117472
97,1.098099581,0.6571428571,1.098123308,0.6666666667,1.098137371,0.6666666667,0.352850
98,1.098092959,0.6571428571,1.098116747,0.6666666667,1.098131508,0.6666666667,0.125139
99,1.09808631,0.6571428571,1.098110158,0.6666666667,1.098125622,0.6666666667,0.355756
100,1.098079635,0.6666666667,1.098103541,0.6666666667,1.098119712,0.6666666667,0.120779
101,1.098072933,0.6666666667,1.098096896,0.6666666667,1.098113778,0.6666666667,0.359916
102,1.098066203,0.6571428571,1.098090221,0.6666666667,1.098107819,0.6666666667,0.121008
103,1.098059444,0.6666666667,1.098083516,0.6666666667,1.098101833,0.6666666667,0.355886
104,1.098052656,0.6666666667,1.09807678,0.6666666667,1.098095822,0.6666666667,0.122602
