epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.098612013,0.3333333333,1.098612131,0.3333333333,1.09861163,0.3333333333,0.128532
2,1.09861202,0.3333333333,1.098612137,0.3333333333,1.098611636,0.3333333333,0.121294
3,1.098612026,0.3333333333,1.098612144,0.3333333333,1.098611643,0.3333333333,0.567293
4,1.098612033,0.3333333333,1.098612151,0.3333333333,1.098611651,0.3333333333,0.110508
5,1.098612041,0.3333333333,1.098612159,0.3333333333,1.098611659,0.3333333333,0.111747
6,1.098612049,0.3333333333,1.098612168,0.3333333333,1.098611667,0.3333333333,0.111961
7,1.098612057,0.3333333333,1.098612177,0.3333333333,1.098611676,0.3333333333,0.086435
8,1.098612066,0.3333333333,1.098612186,0.3333333333,1.098611685,0.3333333333,0.463373
9,1.098612075,0.3333333333,1.098612196,0.3333333333,1.098611695,0.3333333333,0.280619
10,1.098612085,0.3333333333,1.098612206,0.3333333333,1.098611706,0.3333333333,0.187785
11,1.098612095,0.3333333333,1.098612217,0.3333333333,1.098611716,0.3333333333,0.159767
12,1.098612106,0.3333333333,1.098612228,0.3333333333,1.098611728,0.3333333333,0.140819
13,1.098612118,0.3333333333,1.09861224,0.3333333333,1.09861174,0.3333333333,0.512633
14,1.09861213,0.3333333333,1.098612253,0.3333333333,1.098611752,0.3333333333,0.232632
15,1.098612142,0.3333333333,1.098612266,0.3333333333,1.098611765,0.3333333333,0.228917
16,1.098612155,0.3333333333,1.098612279,0.3333333333,1.098611779,0.3333333333,0.179414
17,1.098612169,0.3333333333,1.098612293,0.3333333333,1.098611793,0.3333333333,0.113599
18,1.098612183,0.3333333333,1.098612308,0.3333333333,1.098611808,0.3333333333,0.114857
19,1.098612198,0.3333333333,1.098612324,0.3333333333,1.098611823,0.3333333333,0.428122
20,1.098612213,0.3333333333,1.09861234,0.3333333333,1.098611839,0.3333333333,0.223719
21,1.098612229,0.3333333333,1.098612356,0.3333333333,1.098611856,0.3333333333,0.196403
22,1.098612246,0.3333333333,1.098612374,0.3333333333,1.098611874,0.3333333333,0.131703
23,1.098612264,0.3333333333,1.098612392,0.3333333333,1.098611892,0.3333333333,0.094720
24,1.098612282,0.3333333333,1.098612411,0.3333333333,1.098611911,0.3333333333,0.361929
25,1.098612301,0.3333333333,1.09861243,0.3333333333,1.09861193,0.3333333333,0.217841
26,1.09861232,0.3333333333,1.098612451,0.3333333333,1.098611951,0.3333333333,0.207205
27,1.098612341,0.3333333333,1.098612472,0.3333333333,1.098611972,0.3333333333,0.136943
28,1.098612362,0.3333333333,1.098612494,0.3333333333,1.098611994,0.3333333333,0.105590
29,1.098612384,0.3333333333,1.098612517,0.3333333333,1.098612017,0.3333333333,0.414930
30,1.098612407,0.3333333333,1.09861254,0.3333333333,1.09861204,0.3333333333,0.247779
31,1.09861243,0.3333333333,1.098612565,0.3333333333,1.098612065,0.3333333333,0.192768
32,1.098612455,0.3333333333,1.09861259,0.3333333333,1.09861209,0.3333333333,0.121943
33,1.098612481,0.3333333333,1.098612617,0.3333333333,1.098612117,0.3333333333,0.099674
34,1.098612507,0.3333333333,1.098612644,0.3333333333,1.098612144,0.3333333333,0.102430
35,1.098612534,0.3333333333,1.098612672,0.3333333333,1.098612172,0.3333333333,0.420561
