epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.098529111,0.4,1.09853835,0.5,1.098515101,0.380952381,1.696217
2,1.098535423,0.3904761905,1.098541319,0.4583333333,1.098514438,0.4761904762,1.572623
3,1.098541374,0.3714285714,1.098536064,0.4166666667,1.098504273,0.4285714286,1.546090
4,1.098541126,0.3904761905,1.098519346,0.4583333333,1.098482801,0.4761904762,1.761250
5,1.098525132,0.4380952381,1.098509066,0.4583333333,1.098479979,0.5714285714,1.548993
6,1.098515099,0.4666666667,1.098506514,0.5,1.098486151,0.5714285714,1.532803
7,1.098514841,0.4761904762,1.098508865,0.5416666667,1.098488198,0.5714285714,1.775504
8,1.09851609,0.4761904762,1.098511985,0.5416666667,1.09848992,0.5714285714,1.569899
9,1.098517822,0.4761904762,1.098515756,0.5416666667,1.098489053,0.5714285714,1.546956
10,1.098519513,0.4666666667,1.098518345,0.5416666667,1.098487518,0.619047619,1.736118
11,1.098520559,0.4761904762,1.098518951,0.5416666667,1.09848326,0.619047619,1.546708
12,1.098518752,0.4571428571,1.098519269,0.4583333333,1.098478794,0.5714285714,1.527267
13,1.098518989,0.4380952381,1.098519107,0.5,1.098480982,0.619047619,1.543094
14,1.098519749,0.4380952381,1.098519303,0.5,1.098484613,0.6666666667,1.533778
15,1.098520402,0.4380952381,1.098518531,0.5,1.098485234,0.6666666667,1.770691
16,1.098522085,0.4476190476,1.098516882,0.5,1.098488046,0.6666666667,1.541050
17,1.098524065,0.4666666667,1.098514385,0.5,1.098491902,0.5714285714,1.547688
18,1.098525244,0.4571428571,1.098513689,0.5,1.098492839,0.5238095238,1.765607
19,1.098525857,0.4571428571,1.098512237,0.5416666667,1.098495467,0.4761904762,1.541914
20,1.098526059,0.4380952381,1.098511918,0.5416666667,1.098494972,0.4761904762,1.545038
21,1.098526631,0.4285714286,1.098511857,0.5416666667,1.098495984,0.4761904762,1.780933
22,1.09852722,0.380952381,1.098510935,0.4583333333,1.098498347,0.380952381,1.538318
23,1.098526977,0.3619047619,1.098508777,0.5,1.098501848,0.3333333333,1.784874
24,1.098526297,0.3523809524,1.098507114,0.4583333333,1.098508425,0.2857142857,1.557594
25,1.098525273,0.3428571429,1.098506463,0.4166666667,1.098515584,0.2857142857,1.540418
26,1.098524774,0.3428571429,1.098508402,0.4166666667,1.098512936,0.3333333333,1.772453
27,1.098525252,0.3523809524,1.098509649,0.4166666667,1.098513078,0.3333333333,1.561752
28,1.098525762,0.3428571429,1.098510749,0.4166666667,1.098511047,0.3333333333,1.535261
29,1.098526274,0.3333333333,1.098510448,0.4166666667,1.098504803,0.380952381,1.542664
30,1.098525907,0.3238095238,1.098510209,0.4166666667,1.098504658,0.380952381,1.537370
31,1.098526276,0.3333333333,1.098511196,0.4166666667,1.098510222,0.3333333333,1.768362
32,1.098527294,0.3333333333,1.098511694,0.4166666667,1.098511801,0.3333333333,1.538393
33,1.098528452,0.3333333333,1.098512904,0.4166666667,1.098516681,0.3333333333,1.552477
34,1.098529402,0.3238095238,1.0985144,0.4166666667,1.098522802,0.2857142857,1.791314
35,1.098530414,0.3333333333,1.098516993,0.4166666667,1.098530957,0.2857142857,1.570127
36,1.098531392,0.3238095238,1.098516768,0.4166666667,1.098527017,0.2857142857,1.780190
37,1.09853227,0.3238095238,1.09851583,0.4166666667,1.098524961,0.2857142857,1.566759
38,1.098533063,0.3238095238,1.098513366,0.4166666667,1.098519818,0.3333333333,1.524261
39,1.098532748,0.3238095238,1.098509334,0.4166666667,1.098511791,0.3333333333,1.773858
40,1.098532371,0.3333333333,1.09850849,0.4166666667,1.098511613,0.3333333333,1.536231
41,1.098533356,0.3238095238,1.09851189,0.4166666667,1.098520197,0.2857142857,1.547980
42,1.09853534,0.3428571429,1.098516066,0.4166666667,1.098533174,0.2857142857,1.740641
43,1.098535063,0.3523809524,1.098516693,0.4166666667,1.098540716,0.2857142857,1.544889
44,1.098535647,0.3428571429,1.098515954,0.4166666667,1.098545547,0.3333333333,1.530252
45,1.098536342,0.3428571429,1.098518274,0.375,1.098551001,0.3333333333,1.588570
46,1.098536497,0.3333333333,1.098518211,0.375,1.098554121,0.3333333333,1.700615
47,1.098537691,0.3333333333,1.098518585,0.375,1.098558719,0.3333333333,1.548933
48,1.098538357,0.3333333333,1.098518746,0.375,1.098562124,0.3333333333,1.528475
49,1.098538372,0.3333333333,1.098514566,0.375,1.098558828,0.3333333333,1.750331
50,1.098538253,0.3333333333,1.0985108,0.375,1.098556186,0.3333333333,1.552760
51,1.098537975,0.3333333333,1.098508607,0.3333333333,1.09855557,0.3333333333,1.543296
52,1.098537497,0.3333333333,1.098506758,0.3333333333,1.098554823,0.3333333333,1.778482
53,1.098537057,0.3333333333,1.098505268,0.3333333333,1.098554469,0.3333333333,1.544957
54,1.098537004,0.3333333333,1.098506031,0.3333333333,1.098555453,0.3333333333,1.789227
55,1.098536461,0.3333333333,1.098509507,0.3333333333,1.098556822,0.3333333333,1.563768
56,1.098535355,0.3333333333,1.098511716,0.3333333333,1.098557547,0.3333333333,1.789177
57,1.098535498,0.3333333333,1.098508168,0.3333333333,1.098555765,0.3333333333,1.537823
58,1.098535443,0.3333333333,1.098503075,0.3333333333,1.098552027,0.3333333333,1.766655
59,1.098534462,0.3333333333,1.098494964,0.3333333333,1.098545726,0.3333333333,1.540177
60,1.098532473,0.3333333333,1.098491704,0.3333333333,1.09854401,0.3333333333,1.537286
61,1.098532142,0.3333333333,1.098493187,0.3333333333,1.098543924,0.3333333333,1.760421
62,1.098531595,0.3333333333,1.09849465,0.3333333333,1.098543373,0.3333333333,1.770016
63,1.098530922,0.3333333333,1.098499198,0.3333333333,1.098543894,0.3333333333,1.646399
64,1.098527597,0.3333333333,1.098507915,0.3333333333,1.098542849,0.3333333333,1.805903
65,1.098523097,0.3333333333,1.098504314,0.3333333333,1.098540802,0.3333333333,1.650356
66,1.098522162,0.3333333333,1.098497758,0.3333333333,1.098537714,0.3333333333,1.615733
67,1.098521714,0.3333333333,1.098489608,0.3333333333,1.098530691,0.3333333333,1.903603
68,1.09851914,0.3333333333,1.098478555,0.3333333333,1.098524673,0.3333333333,1.643156
69,1.098516004,0.3333333333,1.098473801,0.3333333333,1.098522686,0.3333333333,1.858391
70,1.098514209,0.3333333333,1.098470387,0.3333333333,1.098521152,0.3333333333,1.763607
71,1.09851291,0.3333333333,1.098470447,0.3333333333,1.098520784,0.3333333333,1.936111
72,1.098512696,0.3333333333,1.098469205,0.3333333333,1.098522524,0.3333333333,1.754699
73,1.098514093,0.3333333333,1.09846636,0.3333333333,1.098525621,0.3333333333,1.931180
74,1.098518299,0.3333333333,1.098463601,0.3333333333,1.098529301,0.3333333333,1.631656
75,1.098522602,0.3333333333,1.098465763,0.3333333333,1.098536137,0.3333333333,1.800228
76,1.098529166,0.3333333333,1.09847131,0.3333333333,1.098547054,0.3333333333,1.589347
77,1.098538791,0.3333333333,1.098480494,0.3333333333,1.098560255,0.3333333333,1.542594
78,1.098550319,0.3238095238,1.098495773,0.3333333333,1.098579183,0.3333333333,1.803600
79,1.098565261,0.2761904762,1.09850756,0.3333333333,1.098599416,0.3333333333,1.579203
80,1.098576251,0.2571428571,1.098513088,0.2916666667,1.098608206,0.1428571429,1.798220
81,1.098571895,0.219047619,1.098506281,0.3333333333,1.098584531,0.1428571429,1.585585
82,1.098549398,0.2285714286,1.098507793,0.3333333333,1.098573154,0.1904761905,1.559548
83,1.098547327,0.2285714286,1.098507169,0.375,1.098568816,0.1904761905,1.770724
84,1.098545518,0.2380952381,1.098504613,0.375,1.098566216,0.2380952381,1.577171
85,1.098542298,0.2571428571,1.098501255,0.4166666667,1.098566264,0.1904761905,1.559125
86,1.098539086,0.2571428571,1.098499341,0.4166666667,1.098559505,0.1904761905,1.804593
87,1.098536745,0.2666666667,1.098496611,0.375,1.098556352,0.2380952381,1.583312
88,1.098533869,0.3142857143,1.098493423,0.375,1.09855307,0.2857142857,1.576802
89,1.098530987,0.3142857143,1.09848851,0.375,1.098550606,0.2857142857,1.792972
90,1.098527411,0.3333333333,1.09848329,0.3333333333,1.098546071,0.2857142857,1.576983
91,1.098524137,0.3428571429,1.098477657,0.375,1.098540679,0.3333333333,1.764280
92,1.098520781,0.3428571429,1.098465251,0.3333333333,1.098539153,0.3333333333,1.576597
93,1.098516196,0.3428571429,1.09846174,0.3333333333,1.098537253,0.3333333333,1.561240
94,1.098510451,0.3428571429,1.098460716,0.3333333333,1.098526794,0.3333333333,1.781498
95,1.098506257,0.3428571429,1.098457827,0.3333333333,1.098529453,0.3333333333,1.564328
96,1.098503394,0.3428571429,1.09846205,0.3333333333,1.0985157,0.3333333333,1.558608
97,1.098501345,0.3428571429,1.098464297,0.3333333333,1.098504555,0.3333333333,1.787285
98,1.098499305,0.3428571429,1.098465933,0.375,1.098489964,0.3333333333,1.565213
99,1.098496839,0.3428571429,1.098462379,0.375,1.098484534,0.3333333333,1.562427
100,1.098494636,0.3619047619,1.098461661,0.375,1.098473566,0.3333333333,1.563936
