epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.100019375,0.2095238095,1.099839858,0.25,1.100455074,0.1428571429,0.035337
2,1.099754066,0.2380952381,1.099575128,0.25,1.100179403,0.1428571429,0.064462
3,1.099489202,0.2571428571,1.099310678,0.25,1.099904251,0.1904761905,0.047159
4,1.099224698,0.2761904762,1.099046458,0.25,1.099629532,0.1904761905,0.035193
5,1.09896049,0.2857142857,1.098782433,0.25,1.099355182,0.1904761905,0.043790
6,1.098696535,0.2857142857,1.098518577,0.3333333333,1.099081152,0.2380952381,0.043727
7,1.098432799,0.2952380952,1.098254875,0.3333333333,1.098807403,0.2380952381,0.043450
8,1.098169258,0.3047619048,1.097991315,0.3333333333,1.098533906,0.2857142857,0.043571
9,1.097905897,0.3333333333,1.097727891,0.3333333333,1.098260637,0.2857142857,0.043649
10,1.097642702,0.3619047619,1.097464599,0.3333333333,1.09798758,0.3333333333,0.043558
11,1.097379665,0.3619047619,1.097201435,0.3333333333,1.09771472,0.380952381,0.043771
12,1.097116779,0.380952381,1.096938398,0.3333333333,1.097442045,0.380952381,0.043494
13,1.096854041,0.380952381,1.096675487,0.3333333333,1.097169546,0.4285714286,0.038537
14,1.096591445,0.4,1.096412703,0.3333333333,1.096897217,0.4285714286,0.048047
15,1.096328991,0.4095238095,1.096150046,0.375,1.096625051,0.4285714286,0.046654
16,1.096066677,0.4476190476,1.095887516,0.375,1.096353043,0.4285714286,0.049573
17,1.095804501,0.4761904762,1.095625114,0.4166666667,1.096081189,0.4761904762,0.046133
18,1.095542462,0.4761904762,1.095362839,0.4166666667,1.095809486,0.4761904762,0.044879
19,1.095280559,0.4952380952,1.095100694,0.5,1.095537932,0.5238095238,0.044899
20,1.095018792,0.5428571429,1.094838677,0.5,1.095266523,0.5238095238,0.044488
21,1.094757162,0.5619047619,1.09457679,0.5833333333,1.094995258,0.5238095238,0.043830
22,1.094495666,0.5904761905,1.094315033,0.5833333333,1.094724135,0.5238095238,0.043621
23,1.094234306,0.5904761905,1.094053407,0.5833333333,1.094453153,0.5714285714,0.043623
24,1.093973081,0.6,1.093791911,0.625,1.094182311,0.5714285714,0.045747
25,1.093711991,0.6476190476,1.093530547,0.625,1.093911607,0.5714285714,0.045739
26,1.093451035,0.6761904762,1.093269313,0.625,1.093641041,0.5714285714,0.036072
27,1.093190214,0.6761904762,1.093008212,0.625,1.093370612,0.619047619,0.045442
28,1.092929528,0.6761904762,1.092747241,0.625,1.09310032,0.619047619,0.045509
29,1.092668976,0.6761904762,1.092486403,0.625,1.092830163,0.6666666667,0.046240
30,1.092408559,0.6857142857,1.092225696,0.625,1.092560142,0.6666666667,0.047168
31,1.092148276,0.7047619048,1.091965121,0.6666666667,1.092290255,0.6666666667,0.045786
32,1.091888127,0.6952380952,1.091704678,0.6666666667,1.092020503,0.6666666667,0.044852
33,1.091628112,0.7238095238,1.091444367,0.6666666667,1.091750886,0.6666666667,0.045884
34,1.091368232,0.7238095238,1.091184189,0.6666666667,1.091481402,0.7619047619,0.045144
35,1.091108485,0.7238095238,1.090924142,0.6666666667,1.091212052,0.7619047619,0.045455
36,1.090848873,0.7333333333,1.090664227,0.7083333333,1.090942835,0.7619047619,0.046152
37,1.090589394,0.7333333333,1.090404445,0.7083333333,1.090673752,0.8095238095,0.045682
38,1.090330049,0.7333333333,1.090144794,0.7083333333,1.090404802,0.8095238095,0.046014
39,1.090070838,0.7523809524,1.089885275,0.7083333333,1.090135984,0.8095238095,0.045923
40,1.089811761,0.7523809524,1.089625889,0.7083333333,1.0898673,0.8095238095,0.036986
41,1.089552817,0.7523809524,1.089366634,0.7083333333,1.089598748,0.8571428571,0.045311
42,1.089294007,0.7523809524,1.089107511,0.7083333333,1.089330328,0.8571428571,0.045703
43,1.08903533,0.7523809524,1.08884852,0.75,1.089062041,0.8571428571,0.045216
44,1.088776787,0.7523809524,1.08858966,0.75,1.088793886,0.8571428571,0.043809
45,1.088518377,0.7619047619,1.088330933,0.75,1.088525863,0.8571428571,0.043541
46,1.088260101,0.7619047619,1.088072337,0.75,1.088257972,0.8571428571,0.043576
47,1.088001957,0.7714285714,1.087813872,0.75,1.087990213,0.8571428571,0.045421
48,1.087743947,0.7714285714,1.08755554,0.7083333333,1.087722586,0.8571428571,0.043432
49,1.08748607,0.7714285714,1.087297338,0.75,1.087455091,0.8571428571,0.043585
50,1.087228326,0.7904761905,1.087039269,0.75,1.087187727,0.8571428571,0.043698
51,1.086970715,0.7904761905,1.08678133,0.75,1.086920495,0.8571428571,0.044117
52,1.086713237,0.7904761905,1.086523523,0.75,1.086653394,0.8571428571,0.043999
53,1.086455891,0.7904761905,1.086265847,0.75,1.086386425,0.8571428571,0.035287
54,1.086198678,0.7904761905,1.086008302,0.75,1.086119587,0.8571428571,0.043622
55,1.085941598,0.7904761905,1.085750888,0.75,1.08585288,0.8095238095,0.043562
56,1.085684651,0.7904761905,1.085493606,0.75,1.085586305,0.8095238095,0.043629
57,1.085427836,0.7904761905,1.085236454,0.75,1.08531986,0.8095238095,0.044669
58,1.085171153,0.7904761905,1.084979433,0.75,1.085053547,0.8095238095,0.043652
59,1.084914603,0.7904761905,1.084722543,0.75,1.084787364,0.8095238095,0.043748
60,1.084658185,0.8,1.084465784,0.75,1.084521313,0.8095238095,0.043639
61,1.0844019,0.8,1.084209156,0.75,1.084255392,0.8095238095,0.043346
62,1.084145746,0.8,1.083952658,0.75,1.083989602,0.8095238095,0.043741
63,1.083889725,0.8,1.08369629,0.75,1.083723943,0.8095238095,0.043943
64,1.083633836,0.8,1.083440054,0.75,1.083458414,0.8095238095,0.043722
65,1.083378078,0.8,1.083183947,0.75,1.083193016,0.8095238095,0.044082
66,1.083122453,0.8,1.082927971,0.75,1.082927748,0.8095238095,0.043652
67,1.082866959,0.8,1.082672125,0.75,1.08266261,0.8095238095,0.034926
68,1.082611597,0.8,1.08241641,0.75,1.082397603,0.8095238095,0.043522
69,1.082356367,0.8,1.082160825,0.7916666667,1.082132726,0.8095238095,0.043473
70,1.082101269,0.8,1.081905369,0.7916666667,1.08186798,0.8095238095,0.044297
71,1.081846302,0.8,1.081650044,0.7916666667,1.081603363,0.8095238095,0.044612
72,1.081591466,0.8,1.081394849,0.7916666667,1.081338877,0.8095238095,0.043573
73,1.081336762,0.8095238095,1.081139783,0.7916666667,1.08107452,0.8095238095,0.045411
74,1.081082189,0.8095238095,1.080884848,0.7916666667,1.080810293,0.8095238095,0.043512
75,1.080827748,0.8095238095,1.080630042,0.7916666667,1.080546197,0.8095238095,0.043796
76,1.080573437,0.8095238095,1.080375366,0.7916666667,1.080282229,0.8095238095,0.045624
77,1.080319258,0.8095238095,1.080120819,0.7916666667,1.080018392,0.8095238095,0.044208
78,1.08006521,0.819047619,1.079866402,0.7916666667,1.079754684,0.8095238095,0.044270
79,1.079811293,0.819047619,1.079612114,0.7916666667,1.079491106,0.8095238095,0.044081
80,1.079557506,0.819047619,1.079357956,0.7916666667,1.079227657,0.8095238095,0.035017
81,1.079303851,0.819047619,1.079103927,0.7916666667,1.078964338,0.8095238095,0.043595
82,1.079050326,0.819047619,1.078850027,0.7916666667,1.078701148,0.8095238095,0.043625
83,1.078796932,0.819047619,1.078596257,0.7916666667,1.078438087,0.8095238095,0.043661
84,1.078543669,0.819047619,1.078342616,0.7916666667,1.078175156,0.8095238095,0.044130
85,1.078290536,0.819047619,1.078089103,0.7916666667,1.077912353,0.8095238095,0.043839
86,1.078037534,0.819047619,1.07783572,0.7916666667,1.07764968,0.8095238095,0.043994
87,1.077784662,0.819047619,1.077582466,0.7916666667,1.077387136,0.8095238095,0.043820
88,1.077531921,0.8285714286,1.07732934,0.7916666667,1.07712472,0.8095238095,0.043755
89,1.07727931,0.8285714286,1.077076343,0.7916666667,1.076862434,0.8095238095,0.043593
90,1.077026829,0.8285714286,1.076823475,0.7916666667,1.076600276,0.8095238095,0.045598
91,1.076774478,0.8285714286,1.076570736,0.7916666667,1.076338247,0.8095238095,0.044848
92,1.076522257,0.8285714286,1.076318125,0.7916666667,1.076076346,0.8095238095,0.043728
93,1.076270167,0.8285714286,1.076065642,0.7916666667,1.075814575,0.8095238095,0.035030
94,1.076018206,0.8285714286,1.075813288,0.7916666667,1.075552931,0.8095238095,0.043629
95,1.075766375,0.8285714286,1.075561063,0.7916666667,1.075291417,0.8095238095,0.043571
96,1.075514674,0.8285714286,1.075308965,0.7916666667,1.07503003,0.8095238095,0.043762
97,1.075263102,0.8285714286,1.075056996,0.7916666667,1.074768772,0.8095238095,0.043758
98,1.075011661,0.8285714286,1.074805155,0.7916666667,1.074507642,0.8095238095,0.044447
99,1.074760349,0.8285714286,1.074553442,0.7916666667,1.07424664,0.8095238095,0.044054
100,1.074509166,0.819047619,1.074301857,0.7916666667,1.073985767,0.8095238095,0.043667
101,1.074258113,0.819047619,1.074050401,0.7916666667,1.073725021,0.8095238095,0.043568
102,1.074007189,0.819047619,1.073799071,0.7916666667,1.073464403,0.8095238095,0.043502
103,1.073756395,0.819047619,1.07354787,0.7916666667,1.073203914,0.8095238095,0.043703
104,1.073505729,0.819047619,1.073296797,0.7916666667,1.072943552,0.8095238095,0.043550
105,1.073255193,0.8285714286,1.073045851,0.7916666667,1.072683318,0.8095238095,0.043733
106,1.073004786,0.8285714286,1.072795033,0.7916666667,1.072423211,0.8095238095,0.043648
107,1.072754509,0.8285714286,1.072544342,0.7916666667,1.072163232,0.8095238095,0.034973
108,1.07250436,0.8285714286,1.072293779,0.7916666667,1.071903381,0.8095238095,0.043587
109,1.07225434,0.8285714286,1.072043343,0.7916666667,1.071643657,0.8095238095,0.043697
110,1.072004448,0.8285714286,1.071793034,0.7916666667,1.071384061,0.8095238095,0.043675
111,1.071754686,0.8285714286,1.071542853,0.7916666667,1.071124592,0.8095238095,0.043846
112,1.071505052,0.8285714286,1.071292799,0.7916666667,1.07086525,0.8095238095,0.044278
113,1.071255547,0.8380952381,1.071042872,0.7916666667,1.070606036,0.8095238095,0.043851
114,1.07100617,0.8380952381,1.070793072,0.7916666667,1.070346948,0.8095238095,0.043587
115,1.070756922,0.8285714286,1.070543399,0.75,1.070087988,0.8095238095,0.043464
116,1.070507803,0.8285714286,1.070293853,0.75,1.069829155,0.8095238095,0.043712
117,1.070258811,0.8285714286,1.070044434,0.75,1.069570448,0.8095238095,0.043792
118,1.070009948,0.8285714286,1.069795141,0.75,1.069311869,0.8095238095,0.043643
119,1.069761213,0.8285714286,1.069545976,0.75,1.069053416,0.8095238095,0.043718
120,1.069512606,0.8285714286,1.069296937,0.75,1.06879509,0.8095238095,0.034492
121,1.069264128,0.8285714286,1.069048024,0.75,1.068536891,0.8095238095,0.043404
122,1.069015777,0.8285714286,1.068799238,0.75,1.068278818,0.8095238095,0.043701
123,1.068767554,0.8285714286,1.068550578,0.75,1.068020872,0.8095238095,0.044045
124,1.068519459,0.8285714286,1.068302045,0.75,1.067763052,0.8095238095,0.043782
