epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.049794605,0.8285714286,1.049777611,0.7916666667,1.048533084,0.9047619048,0.699953
2,1.049794104,0.8285714286,1.049777189,0.7916666667,1.048532571,0.9047619048,0.460988
3,1.049793602,0.8285714286,1.049776766,0.7916666667,1.048532058,0.9047619048,0.486095
4,1.0497931,0.8285714286,1.049776344,0.7916666667,1.048531545,0.9047619048,0.470329
5,1.049792599,0.8285714286,1.049775922,0.7916666667,1.048531033,0.9047619048,0.464805
6,1.049792097,0.8285714286,1.0497755,0.7916666667,1.04853052,0.9047619048,0.458816
7,1.049791595,0.8285714286,1.049775078,0.7916666667,1.048530007,0.9047619048,0.459114
8,1.049791094,0.8285714286,1.049774655,0.7916666667,1.048529494,0.9047619048,0.457907
9,1.049790592,0.8285714286,1.049774233,0.7916666667,1.048528981,0.9047619048,0.458394
10,1.04979009,0.8285714286,1.049773811,0.7916666667,1.048528469,0.9047619048,0.458391
11,1.049789589,0.8285714286,1.049773389,0.7916666667,1.048527956,0.9047619048,0.458275
12,1.049789087,0.8285714286,1.049772967,0.7916666667,1.048527443,0.9047619048,0.460466
13,1.049788585,0.8285714286,1.049772545,0.7916666667,1.04852693,0.9047619048,0.458094
14,1.049788083,0.8285714286,1.049772122,0.7916666667,1.048526417,0.9047619048,0.458828
15,1.049787582,0.8285714286,1.0497717,0.7916666667,1.048525905,0.9047619048,0.459213
16,1.04978708,0.8285714286,1.049771278,0.7916666667,1.048525392,0.9047619048,0.464349
17,1.049786578,0.8285714286,1.049770856,0.7916666667,1.048524879,0.9047619048,0.459127
18,1.049786077,0.8285714286,1.049770434,0.7916666667,1.048524366,0.9047619048,0.468494
19,1.049785575,0.8285714286,1.049770011,0.7916666667,1.048523853,0.9047619048,0.459245
20,1.049785073,0.8285714286,1.049769589,0.7916666667,1.048523341,0.9047619048,0.458466
21,1.049784572,0.8285714286,1.049769167,0.7916666667,1.048522828,0.9047619048,0.458079
22,1.04978407,0.8285714286,1.049768745,0.7916666667,1.048522315,0.9047619048,0.457485
