epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.004401766,0.8476190476,1.004052028,0.75,1.001005809,0.9047619048,0.753903
2,1.004186556,0.8476190476,1.003835948,0.75,1.000780508,0.9047619048,0.761729
3,1.003971455,0.8476190476,1.003619979,0.75,1.000555318,0.9047619048,0.762065
4,1.003756464,0.8476190476,1.003404121,0.75,1.000330239,0.9047619048,0.736829
5,1.003541581,0.8476190476,1.003188375,0.75,1.00010527,0.9047619048,0.740578
6,1.003326807,0.8476190476,1.002972739,0.75,0.9998804115,0.9047619048,0.737534
7,1.003112142,0.8476190476,1.002757212,0.75,0.9996556619,0.9047619048,0.748697
8,1.002897586,0.8476190476,1.002541795,0.75,0.9994310215,0.9047619048,0.738236
9,1.002683138,0.8476190476,1.002326487,0.75,0.99920649,0.9047619048,0.735045
10,1.002468799,0.8476190476,1.002111287,0.75,0.9989820671,0.9047619048,0.748732
11,1.002254568,0.8476190476,1.001896196,0.75,0.9987577527,0.9047619048,0.738830
12,1.002040446,0.8476190476,1.001681214,0.75,0.9985335465,0.9047619048,0.741416
13,1.001826432,0.8476190476,1.001466339,0.75,0.9983094485,0.9047619048,0.738147
14,1.001612527,0.8476190476,1.001251572,0.75,0.9980854584,0.9047619048,0.746266
15,1.00139873,0.8476190476,1.001036913,0.75,0.997861576,0.9047619048,0.742947
16,1.001185041,0.8476190476,1.000822361,0.75,0.9976378014,0.9047619048,0.737146
17,1.00097146,0.8476190476,1.000607916,0.75,0.9974141343,0.9047619048,0.739824
18,1.000757987,0.8476190476,1.000393579,0.75,0.9971905746,0.9047619048,0.734227
19,1.000544623,0.8476190476,1.000179349,0.75,0.9969671223,0.9047619048,0.736868
20,1.000331366,0.8476190476,0.9999652254,0.75,0.9967437773,0.9047619048,0.746773
21,1.000118217,0.8476190476,0.999751209,0.75,0.9965205393,0.9047619048,0.737145
22,0.9999051761,0.8476190476,0.9995372993,0.75,0.9962974085,0.9047619048,0.740146
23,0.9996922428,0.8476190476,0.9993234963,0.75,0.9960743846,0.9047619048,0.737720
24,0.9994794172,0.8476190476,0.9991097998,0.75,0.9958514676,0.9047619048,0.746089
25,0.9992666993,0.8476190476,0.9988962099,0.75,0.9956286575,0.9047619048,0.738061
26,0.9990540889,0.8476190476,0.9986827263,0.75,0.9954059541,0.9047619048,0.741072
27,0.998841586,0.8476190476,0.9984693491,0.75,0.9951833573,0.9047619048,0.739645
28,0.9986291906,0.8476190476,0.9982560781,0.75,0.9949608672,0.9047619048,0.740028
29,0.9984169025,0.8476190476,0.9980429133,0.75,0.9947384836,0.9047619048,0.755924
30,0.9982047217,0.8476190476,0.9978298545,0.75,0.9945162064,0.9047619048,0.737014
31,0.9979926482,0.8476190476,0.9976169019,0.75,0.9942940356,0.9047619048,0.734537
32,0.9977806818,0.8476190476,0.9974040551,0.75,0.9940719712,0.9047619048,0.737930
33,0.9975688226,0.8476190476,0.9971913143,0.75,0.993850013,0.9047619048,0.745478
34,0.9973570704,0.8476190476,0.9969786793,0.75,0.993628161,0.9047619048,0.742736
35,0.9971454252,0.8476190476,0.99676615,0.75,0.9934064151,0.9047619048,0.741233
36,0.9969338869,0.8476190476,0.9965537264,0.75,0.9931847753,0.9047619048,0.735938
37,0.9967224555,0.8476190476,0.9963414084,0.75,0.9929632415,0.9047619048,0.741902
38,0.9965111309,0.8476190476,0.996129196,0.75,0.9927418136,0.9047619048,0.736819
39,0.996299913,0.8476190476,0.995917089,0.75,0.9925204916,0.9047619048,0.736876
40,0.9960888018,0.8476190476,0.9957050875,0.75,0.9922992754,0.9047619048,0.745512
41,0.9958777972,0.8476190476,0.9954931914,0.75,0.9920781649,0.9047619048,0.738514
42,0.9956668991,0.8476190476,0.9952814005,0.75,0.9918571601,0.9047619048,0.743699
43,0.9954561075,0.8476190476,0.9950697148,0.75,0.991636261,0.9047619048,0.735162
44,0.9952454223,0.8476190476,0.9948581344,0.75,0.9914154674,0.9047619048,0.734488
45,0.9950348435,0.8476190476,0.994646659,0.75,0.9911947792,0.9047619048,0.743680
46,0.9948243709,0.8476190476,0.9944352886,0.75,0.9909741965,0.9047619048,0.740495
47,0.9946140046,0.8476190476,0.9942240232,0.75,0.9907537192,0.9047619048,1.075813
48,0.9944037444,0.8476190476,0.9940128628,0.75,0.9905333472,0.9047619048,0.730129
49,0.9941935903,0.8476190476,0.9938018071,0.75,0.9903130804,0.9047619048,0.742388
50,0.9939835423,0.8476190476,0.9935908563,0.75,0.9900929188,0.9047619048,0.736279
51,0.9937736002,0.8571428571,0.9933800102,0.75,0.9898728624,0.9047619048,0.735855
52,0.993563764,0.8571428571,0.9931692687,0.75,0.9896529109,0.9047619048,0.740526
53,0.9933540337,0.8571428571,0.9929586318,0.75,0.9894330645,0.9047619048,0.735589
54,0.9931444091,0.8571428571,0.9927480995,0.75,0.989213323,0.9047619048,0.747716
55,0.9929348903,0.8571428571,0.9925376716,0.75,0.9889936864,0.9047619048,0.733858
56,0.9927254771,0.8571428571,0.9923273481,0.75,0.9887741546,0.9047619048,0.740285
57,0.9925161695,0.8571428571,0.992117129,0.75,0.9885547276,0.9047619048,0.740979
58,0.9923069674,0.8571428571,0.9919070141,0.75,0.9883354052,0.9047619048,0.734691
59,0.9920978708,0.8571428571,0.9916970035,0.75,0.9881161875,0.9047619048,0.745190
60,0.9918888796,0.8571428571,0.991487097,0.75,0.9878970743,0.9047619048,0.738135
61,0.9916799937,0.8571428571,0.9912772945,0.75,0.9876780657,0.9047619048,0.737808
