epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.09993161,0.219047619,1.09981397,0.25,1.100498325,0.09523809524,0.040060
2,1.099666273,0.2476190476,1.099549178,0.25,1.100222589,0.1428571429,0.057630
3,1.099401386,0.2761904762,1.099284673,0.25,1.099947379,0.1428571429,0.046358
4,1.099136861,0.2857142857,1.099020402,0.2916666667,1.099672608,0.1904761905,0.042134
5,1.098872638,0.2857142857,1.09875633,0.2916666667,1.099398212,0.2380952381,0.041255
6,1.098608668,0.2857142857,1.098492432,0.2916666667,1.099124139,0.2380952381,0.034599
7,1.098344921,0.2952380952,1.09822869,0.3333333333,1.098850352,0.2380952381,0.041669
8,1.098081371,0.3047619048,1.097965094,0.3333333333,1.098576819,0.2857142857,0.041145
9,1.097818002,0.3428571429,1.097701636,0.3333333333,1.098303519,0.3333333333,0.041475
10,1.097554801,0.3714285714,1.09743831,0.3333333333,1.098030431,0.380952381,0.047364
11,1.097291759,0.380952381,1.097175116,0.3333333333,1.097757543,0.380952381,0.040741
12,1.09702887,0.380952381,1.096912049,0.3333333333,1.097484841,0.380952381,0.043410
13,1.096766129,0.3904761905,1.096649111,0.3333333333,1.097212318,0.4285714286,0.043884
14,1.096503532,0.4476190476,1.0963863,0.3333333333,1.096939964,0.4285714286,0.045484
15,1.096241076,0.4571428571,1.096123616,0.3333333333,1.096667775,0.4285714286,0.042222
16,1.095978761,0.4571428571,1.09586106,0.375,1.096395745,0.4761904762,0.044528
17,1.095716584,0.4761904762,1.095598633,0.375,1.09612387,0.4761904762,0.041085
18,1.095454545,0.4952380952,1.095336334,0.4583333333,1.095852147,0.4761904762,0.040790
19,1.095192643,0.5238095238,1.095074164,0.5416666667,1.095580572,0.4761904762,0.042734
20,1.094930877,0.5523809524,1.094812124,0.5833333333,1.095309144,0.5238095238,0.040742
21,1.094669248,0.5619047619,1.094550214,0.5833333333,1.095037859,0.5238095238,0.041715
22,1.094407753,0.580952381,1.094288435,0.5833333333,1.094766718,0.5238095238,0.041044
23,1.094146394,0.6,1.094026785,0.5833333333,1.094495717,0.5714285714,0.041589
24,1.093885171,0.6285714286,1.093765267,0.625,1.094224856,0.5714285714,0.047398
25,1.093624082,0.6571428571,1.09350388,0.625,1.093954135,0.5714285714,0.041819
26,1.093363128,0.6666666667,1.093242625,0.625,1.093683551,0.5714285714,0.042862
27,1.093102309,0.6761904762,1.092981501,0.625,1.093413104,0.619047619,0.041387
28,1.092841625,0.6761904762,1.092720509,0.625,1.093142794,0.619047619,0.042621
