epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.09993161,0.219047619,1.099749106,0.2916666667,1.100414869,0.09523809524,2.028363
2,1.099588705,0.2285714286,1.099419234,0.2916666667,1.10005519,0.09523809524,2.018006
3,1.099245948,0.2571428571,1.099089506,0.2916666667,1.099695663,0.1428571429,1.954571
4,1.098903341,0.2952380952,1.098759921,0.2916666667,1.09933629,0.1428571429,1.888763
5,1.098560883,0.3142857143,1.098430481,0.2916666667,1.098977069,0.2380952381,1.884827
6,1.098218574,0.3523809524,1.098101184,0.2916666667,1.098618001,0.2380952381,2.226748
7,1.097876413,0.380952381,1.097772031,0.2916666667,1.098259087,0.3333333333,1.883347
8,1.097534402,0.380952381,1.097443021,0.2916666667,1.097900325,0.3333333333,1.880599
9,1.09719254,0.4095238095,1.097114156,0.2916666667,1.097541716,0.3333333333,1.888443
10,1.096850826,0.4761904762,1.096785434,0.3333333333,1.097183259,0.380952381,1.886621
11,1.096509262,0.4761904762,1.096456855,0.375,1.096824955,0.4285714286,1.879898
12,1.096167846,0.4761904762,1.09612842,0.4583333333,1.096466804,0.4285714286,1.885443
13,1.095826578,0.4857142857,1.095800129,0.4583333333,1.096108806,0.4285714286,2.226279
14,1.09548546,0.5238095238,1.095471981,0.4583333333,1.09575096,0.4285714286,1.887171
15,1.09514449,0.5619047619,1.095143976,0.4583333333,1.095393266,0.4285714286,1.885191
16,1.094803668,0.5619047619,1.094816115,0.4583333333,1.095035726,0.4285714286,1.885561
17,1.094462995,0.5714285714,1.094488397,0.4583333333,1.094678337,0.4761904762,1.879302
18,1.094122471,0.5904761905,1.094160822,0.5,1.094321101,0.4761904762,1.879419
19,1.093782095,0.6095238095,1.093833391,0.5416666667,1.093964017,0.619047619,1.898863
20,1.093441867,0.6095238095,1.093506102,0.5833333333,1.093607085,0.619047619,2.228822
21,1.093101787,0.6285714286,1.093178957,0.625,1.093250306,0.619047619,1.881683
22,1.092761856,0.6285714286,1.092851955,0.625,1.092893679,0.6666666667,1.879689
23,1.092422073,0.6380952381,1.092525096,0.625,1.092537204,0.7142857143,1.893658
24,1.092082439,0.6666666667,1.092198379,0.625,1.092180881,0.7619047619,1.885997
25,1.091742952,0.6761904762,1.091871806,0.625,1.09182471,0.7619047619,1.888453
26,1.091403613,0.7047619048,1.091545376,0.6666666667,1.091468691,0.7619047619,1.883999
27,1.091064423,0.7047619048,1.091219088,0.6666666667,1.091112824,0.8095238095,2.227581
28,1.09072538,0.7333333333,1.090892943,0.6666666667,1.090757109,0.8095238095,1.879120
29,1.090386485,0.7428571429,1.090566941,0.6666666667,1.090401545,0.8095238095,1.891443
30,1.090047738,0.7714285714,1.090241081,0.7083333333,1.090046134,0.8571428571,1.883353
31,1.089709139,0.780952381,1.089915365,0.7083333333,1.089690874,0.8571428571,1.887269
32,1.089370688,0.780952381,1.089589791,0.7083333333,1.089335766,0.8571428571,1.889150
33,1.089032384,0.7904761905,1.089264359,0.7083333333,1.08898081,0.8095238095,1.885822
34,1.088694228,0.8,1.08893907,0.75,1.088626006,0.8095238095,2.275766
35,1.08835622,0.819047619,1.088613923,0.75,1.088271352,0.8095238095,1.926670
36,1.088018359,0.8285714286,1.088288919,0.75,1.087916851,0.8095238095,1.926961
37,1.087680646,0.8380952381,1.087964057,0.75,1.087562501,0.8095238095,1.943262
38,1.08734308,0.8380952381,1.087639337,0.75,1.087208302,0.8095238095,1.919698
39,1.087005662,0.8380952381,1.08731476,0.75,1.086854255,0.8095238095,1.944710
40,1.086668391,0.8380952381,1.086990325,0.75,1.086500359,0.8095238095,1.976521
41,1.086331267,0.8380952381,1.086666032,0.75,1.086146615,0.8095238095,2.477552
42,1.085994291,0.8476190476,1.086341881,0.75,1.085793021,0.8095238095,2.074727
43,1.085657462,0.8476190476,1.086017872,0.75,1.085439579,0.8571428571,2.027862
44,1.08532078,0.8476190476,1.085694006,0.75,1.085086288,0.8571428571,1.878338
45,1.084984245,0.8476190476,1.085370281,0.75,1.084733149,0.8571428571,1.883158
46,1.084647857,0.8476190476,1.085046698,0.75,1.08438016,0.8571428571,1.888989
47,1.084311616,0.8476190476,1.084723257,0.75,1.084027322,0.8571428571,1.884602
48,1.083975522,0.8666666667,1.084399958,0.75,1.083674635,0.8571428571,2.238038
49,1.083639575,0.8666666667,1.084076801,0.75,1.0833221,0.9047619048,1.871973
50,1.083303775,0.8761904762,1.083753785,0.75,1.082969715,0.9047619048,1.891709
51,1.082968122,0.8857142857,1.083430911,0.75,1.08261748,0.9047619048,1.884703
52,1.082632616,0.8857142857,1.083108179,0.75,1.082265397,0.9047619048,1.878547
53,1.082297256,0.8952380952,1.082785589,0.7916666667,1.081913465,0.9047619048,1.908455
54,1.081962043,0.8952380952,1.08246314,0.7916666667,1.081561683,0.9047619048,2.083228
55,1.081626977,0.8952380952,1.082140832,0.7916666667,1.081210051,0.9047619048,2.363896
56,1.081292057,0.8952380952,1.081818666,0.7916666667,1.080858571,0.9047619048,1.999084
57,1.080957284,0.8952380952,1.081496642,0.7916666667,1.080507241,0.9047619048,1.963478
58,1.080622657,0.8952380952,1.081174759,0.8333333333,1.080156061,0.9047619048,1.900012
59,1.080288176,0.8952380952,1.080853017,0.8333333333,1.079805032,0.9047619048,1.917538
60,1.079953842,0.9047619048,1.080531416,0.875,1.079454153,0.9047619048,1.915621
61,1.079619655,0.9047619048,1.080209957,0.875,1.079103425,0.9047619048,1.908607
62,1.079285613,0.9047619048,1.079888638,0.875,1.078752847,0.9047619048,2.265601
63,1.078951718,0.9142857143,1.079567461,0.875,1.078402419,0.9047619048,1.917276
64,1.078617969,0.9142857143,1.079246425,0.875,1.078052141,0.9047619048,1.917850
65,1.078284366,0.9142857143,1.07892553,0.875,1.077702014,0.9047619048,1.919134
66,1.077950909,0.9142857143,1.078604777,0.875,1.077352037,0.9047619048,1.992550
67,1.077617598,0.9142857143,1.078284164,0.875,1.07700221,0.9047619048,1.936378
68,1.077284434,0.9142857143,1.077963691,0.875,1.076652533,0.9047619048,1.981110
69,1.076951415,0.9142857143,1.07764336,0.875,1.076303005,0.9047619048,2.328252
70,1.076618542,0.9142857143,1.07732317,0.875,1.075953628,0.9047619048,1.906546
71,1.076285815,0.9142857143,1.07700312,0.875,1.075604401,0.9047619048,1.898576
72,1.075953233,0.9142857143,1.076683211,0.875,1.075255323,0.9047619048,1.907348
73,1.075620797,0.9142857143,1.076363443,0.875,1.074906396,0.9047619048,1.902729
74,1.075288507,0.9142857143,1.076043815,0.875,1.074557618,0.9047619048,1.901319
75,1.074956363,0.9238095238,1.075724328,0.9166666667,1.07420899,0.9047619048,1.907007
76,1.074624364,0.9238095238,1.075404981,0.9166666667,1.073860511,0.9047619048,2.263617
77,1.074292511,0.9333333333,1.075085775,0.9166666667,1.073512182,0.9047619048,1.947953
78,1.073960803,0.9333333333,1.07476671,0.9166666667,1.073164003,0.9047619048,2.191577
79,1.073629241,0.9333333333,1.074447784,0.9166666667,1.072815973,0.9047619048,2.095001
80,1.073297824,0.9333333333,1.074128999,0.9166666667,1.072468093,0.9047619048,1.933937
81,1.072966552,0.9333333333,1.073810354,0.9166666667,1.072120362,0.9047619048,1.934810
82,1.072635426,0.9333333333,1.07349185,0.9166666667,1.07177278,0.9047619048,1.942713
83,1.072304444,0.9333333333,1.073173486,0.9166666667,1.071425348,0.9047619048,2.294318
84,1.071973608,0.9428571429,1.072855262,0.9166666667,1.071078065,0.9047619048,1.944397
85,1.071642918,0.9428571429,1.072537177,0.9166666667,1.070730931,0.9047619048,1.929315
86,1.071312372,0.9428571429,1.072219233,0.9166666667,1.070383947,0.9047619048,1.946022
87,1.070981971,0.9428571429,1.071901429,0.9166666667,1.070037111,0.9047619048,1.959572
88,1.070651715,0.9428571429,1.071583765,0.9166666667,1.069690425,0.9047619048,1.940326
89,1.070321604,0.9428571429,1.071266241,0.9166666667,1.069343888,0.9047619048,1.931881
90,1.069991638,0.9428571429,1.070948857,0.9166666667,1.068997499,0.9047619048,2.371495
91,1.069661817,0.9428571429,1.070631612,0.9166666667,1.06865126,0.9047619048,2.127537
92,1.069332141,0.9428571429,1.070314507,0.9166666667,1.068305169,0.9523809524,1.963115
93,1.069002609,0.9428571429,1.069997542,0.9166666667,1.067959228,0.9523809524,1.909581
94,1.068673222,0.9428571429,1.069680717,0.9166666667,1.067613435,0.9523809524,1.903791
95,1.06834398,0.9428571429,1.069364031,0.9166666667,1.067267791,0.9523809524,1.900635
96,1.068014882,0.9523809524,1.069047485,0.9166666667,1.066922296,0.9523809524,1.952110
97,1.067685929,0.9523809524,1.068731078,0.9166666667,1.066576949,0.9523809524,2.271405
98,1.06735712,0.9523809524,1.068414811,0.9166666667,1.066231751,0.9523809524,1.939613
99,1.067028455,0.9523809524,1.068098683,0.9166666667,1.065886702,0.9523809524,1.939133
100,1.066699935,0.9523809524,1.067782695,0.9166666667,1.065541801,0.9523809524,1.940167
101,1.06637156,0.9523809524,1.067466845,0.9166666667,1.065197048,0.9523809524,1.904588
102,1.066043328,0.9523809524,1.067151136,0.9166666667,1.064852444,0.9523809524,1.944525
103,1.065715241,0.9523809524,1.066835565,0.9583333333,1.064507988,0.9523809524,1.907833
104,1.065387298,0.9523809524,1.066520134,0.9583333333,1.064163681,0.9523809524,2.181115
105,1.065059499,0.9523809524,1.066204841,0.9583333333,1.063819522,0.9523809524,1.962225
106,1.064731844,0.9523809524,1.065889688,0.9583333333,1.063475511,0.9523809524,1.901378
107,1.064404333,0.9523809524,1.065574674,0.9583333333,1.063131648,0.9523809524,1.902627
108,1.064076966,0.9523809524,1.065259799,0.9583333333,1.062787934,0.9523809524,1.903160
109,1.063749743,0.9523809524,1.064945062,0.9583333333,1.062444367,0.9523809524,1.896119
110,1.063422664,0.9523809524,1.064630465,0.9583333333,1.062100949,0.9523809524,1.907877
111,1.063095729,0.9523809524,1.064316006,0.9583333333,1.061757679,0.9523809524,2.156854
112,1.062768938,0.9523809524,1.064001687,0.9583333333,1.061414556,0.9523809524,1.992488
113,1.06244229,0.9523809524,1.063687506,0.9583333333,1.061071582,0.9523809524,1.900271
114,1.062115786,0.9523809524,1.063373463,0.9583333333,1.060728755,0.9523809524,1.893251
115,1.061789425,0.9523809524,1.06305956,0.9583333333,1.060386076,0.9523809524,1.903074
116,1.061463208,0.9523809524,1.062745795,0.9583333333,1.060043545,0.9523809524,1.898375
117,1.061137135,0.9523809524,1.062432168,0.9583333333,1.059701161,0.9523809524,1.912795
118,1.060811205,0.9523809524,1.06211868,0.9583333333,1.059358925,0.9523809524,1.896926
119,1.060485418,0.9523809524,1.061805331,0.9583333333,1.059016837,0.9523809524,2.250746
120,1.060159775,0.9523809524,1.06149212,0.9583333333,1.058674897,0.9523809524,1.894289
121,1.059834275,0.9523809524,1.061179047,0.9583333333,1.058333104,0.9523809524,1.903717
122,1.059508918,0.9523809524,1.060866113,0.9583333333,1.057991458,0.9523809524,1.896102
123,1.059183705,0.9523809524,1.060553316,0.9583333333,1.05764996,0.9523809524,1.902844
124,1.058858635,0.9523809524,1.060240658,0.9583333333,1.057308609,0.9523809524,1.903726
125,1.058533708,0.9523809524,1.059928139,0.9583333333,1.056967405,0.9523809524,1.899599
126,1.058208923,0.9523809524,1.059615757,0.9583333333,1.056626349,0.9523809524,2.255734
127,1.057884282,0.9523809524,1.059303513,0.9583333333,1.05628544,0.9523809524,1.896834
128,1.057559784,0.9523809524,1.058991408,0.9583333333,1.055944678,0.9523809524,1.899011
129,1.057235429,0.9523809524,1.05867944,0.9583333333,1.055604063,0.9523809524,1.900983
130,1.056911217,0.9523809524,1.058367611,0.9583333333,1.055263596,0.9523809524,1.900394
131,1.056587147,0.9523809524,1.058055919,0.9583333333,1.054923275,0.9523809524,1.902904
132,1.05626322,0.9523809524,1.057744365,0.9583333333,1.054583101,0.9523809524,1.900043
133,1.055939436,0.9523809524,1.057432949,0.9583333333,1.054243075,0.9523809524,2.250602
134,1.055615795,0.9523809524,1.05712167,0.9583333333,1.053903195,0.9523809524,1.903830
135,1.055292296,0.9523809524,1.05681053,0.9583333333,1.053563462,0.9523809524,1.901533
136,1.054968939,0.9523809524,1.056499526,0.9583333333,1.053223876,0.9523809524,1.902840
137,1.054645725,0.9523809524,1.056188661,0.9583333333,1.052884436,0.9523809524,1.904153
138,1.054322654,0.9523809524,1.055877933,0.9583333333,1.052545144,0.9523809524,1.923666
139,1.053999725,0.9523809524,1.055567342,0.9583333333,1.052205997,0.9523809524,1.901975
140,1.053676938,0.9523809524,1.055256889,0.9583333333,1.051866998,0.9523809524,2.258717
141,1.053354294,0.9523809524,1.054946574,0.9583333333,1.051528145,0.9523809524,1.903483
142,1.053031792,0.9523809524,1.054636395,0.9583333333,1.051189439,0.9523809524,1.893193
143,1.052709432,0.9523809524,1.054326354,0.9583333333,1.050850879,0.9523809524,1.899872
144,1.052387214,0.9619047619,1.054016451,0.9583333333,1.050512465,0.9523809524,1.898992
145,1.052065139,0.9619047619,1.053706684,0.9583333333,1.050174198,0.9523809524,1.905278
146,1.051743205,0.9619047619,1.053397055,0.9583333333,1.049836077,0.9523809524,1.898862
147,1.051421413,0.9619047619,1.053087562,0.9583333333,1.049498102,0.9523809524,2.253223
148,1.051099764,0.9619047619,1.052778207,0.9583333333,1.049160274,0.9523809524,1.901668
149,1.050778256,0.9619047619,1.052468989,0.9583333333,1.048822591,0.9523809524,1.890921
150,1.05045689,0.9619047619,1.052159907,0.9583333333,1.048485055,0.9523809524,1.910285
151,1.050135666,0.9619047619,1.051850963,0.9583333333,1.048147665,0.9523809524,1.903338
152,1.049814583,0.9619047619,1.051542155,0.9583333333,1.047810421,0.9523809524,1.904728
