epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
1,1.099604,0.2095238095,1.099753839,0.2916666667,1.100407857,0.09523809524,1.344378
2,1.099277318,0.2285714286,1.099429431,0.2916666667,1.100041996,0.09523809524,0.218075
3,1.09895145,0.2476190476,1.099105798,0.2916666667,1.099677002,0.1428571429,0.448155
4,1.09862628,0.2666666667,1.09878284,0.25,1.099312758,0.1904761905,0.172850
5,1.098301694,0.2952380952,1.098460459,0.25,1.098949145,0.2380952381,0.156354
6,1.097977577,0.3333333333,1.098138555,0.25,1.098586045,0.2380952381,0.410991
7,1.097653812,0.3523809524,1.097817027,0.25,1.098223339,0.2380952381,0.215643
8,1.097330284,0.3714285714,1.097495775,0.25,1.097860909,0.3333333333,0.208734
9,1.097006875,0.4095238095,1.097174698,0.25,1.097498634,0.3333333333,0.469494
10,1.096683469,0.419047619,1.096853694,0.2916666667,1.097136394,0.3333333333,0.184205
11,1.096359946,0.4571428571,1.096532659,0.375,1.096774067,0.380952381,0.196565
12,1.096036187,0.4666666667,1.096211492,0.375,1.09641153,0.4285714286,0.470690
13,1.095712072,0.4857142857,1.095890087,0.4166666667,1.09604866,0.4285714286,0.173030
14,1.09538748,0.4952380952,1.095568339,0.4166666667,1.095685332,0.4285714286,0.175880
15,1.095062289,0.5142857143,1.095246142,0.4583333333,1.09532142,0.4761904762,0.420500
16,1.094736373,0.5238095238,1.094923387,0.4583333333,1.094956796,0.4761904762,0.168592
17,1.094409609,0.5428571429,1.094599966,0.5,1.09459133,0.4761904762,0.162688
18,1.09408187,0.5619047619,1.094275768,0.5,1.094224892,0.5238095238,0.424124
19,1.093753026,0.580952381,1.09395068,0.5,1.09385735,0.5238095238,0.165970
20,1.093422949,0.6,1.093624589,0.5,1.093488568,0.619047619,0.173148
21,1.093079704,0.619047619,1.093294971,0.5416666667,1.093128968,0.619047619,0.415859
22,1.092736517,0.6285714286,1.092965407,0.5833333333,1.092769417,0.6666666667,0.164399
23,1.092393386,0.6285714286,1.092635893,0.5833333333,1.092409911,0.6666666667,0.183523
24,1.092050307,0.6476190476,1.092306425,0.5833333333,1.092050447,0.7142857143,0.436984
25,1.091707277,0.6571428571,1.091977001,0.5833333333,1.091691021,0.7142857143,0.172309
26,1.091364291,0.6761904762,1.091647617,0.5833333333,1.09133163,0.7619047619,0.161678
27,1.091021348,0.6952380952,1.091318269,0.5833333333,1.090972269,0.7619047619,0.428223
28,1.090678442,0.7142857143,1.090988955,0.5833333333,1.090612935,0.7619047619,0.165637
29,1.09033557,0.7428571429,1.09065967,0.5833333333,1.090253625,0.7619047619,0.165165
30,1.08999273,0.7619047619,1.090330412,0.5833333333,1.089894334,0.7619047619,0.417058
31,1.089649917,0.7619047619,1.090001177,0.6666666667,1.089535058,0.7619047619,0.171802
32,1.089307128,0.780952381,1.089671961,0.6666666667,1.089175795,0.8095238095,0.161606
33,1.088964359,0.7904761905,1.089342761,0.6666666667,1.08881654,0.8095238095,0.417785
34,1.088621608,0.8,1.089013574,0.6666666667,1.08845729,0.8095238095,0.168421
35,1.088278869,0.819047619,1.088684397,0.6666666667,1.08809804,0.8095238095,0.163303
36,1.087936141,0.8285714286,1.088355225,0.7083333333,1.087738788,0.8095238095,0.413957
37,1.087593418,0.8285714286,1.088026055,0.7083333333,1.087379529,0.8095238095,0.179089
38,1.087250698,0.8285714286,1.087696884,0.7083333333,1.08702026,0.8095238095,0.176164
39,1.086907978,0.8380952381,1.087367708,0.7083333333,1.086660976,0.8095238095,0.425861
40,1.086565252,0.8380952381,1.087038525,0.7083333333,1.086301674,0.8095238095,0.168666
41,1.086222519,0.8380952381,1.086709329,0.7083333333,1.085942351,0.8095238095,0.167707
42,1.085879773,0.8476190476,1.086380119,0.7083333333,1.085583002,0.8095238095,0.417189
43,1.085537012,0.8476190476,1.086050889,0.7083333333,1.085223623,0.8095238095,0.165326
44,1.085194232,0.8571428571,1.085721637,0.7083333333,1.084864211,0.8095238095,0.162364
45,1.08485143,0.8571428571,1.08539236,0.7083333333,1.084504762,0.8095238095,0.454570
46,1.0845086,0.8571428571,1.085063052,0.7083333333,1.084145272,0.9047619048,0.180087
47,1.084165741,0.8571428571,1.084733712,0.7083333333,1.083785736,0.9047619048,0.180688
48,1.083822848,0.8571428571,1.084404335,0.7083333333,1.083426152,0.9047619048,0.439508
49,1.083479917,0.8666666667,1.084074918,0.75,1.083066516,0.9047619048,0.202208
50,1.083136945,0.8761904762,1.083745457,0.75,1.082706822,0.9047619048,0.167212
51,1.082793927,0.8761904762,1.083415948,0.75,1.082347068,0.9047619048,0.440553
52,1.082450861,0.8761904762,1.083086387,0.75,1.081987249,0.9047619048,0.167163
53,1.082107742,0.8761904762,1.082756772,0.7916666667,1.081627361,0.9047619048,0.172068
54,1.081764567,0.8761904762,1.082427098,0.7916666667,1.081267401,0.9047619048,0.426948
55,1.081421331,0.8761904762,1.082097361,0.7916666667,1.080907364,0.9047619048,0.165696
56,1.081078031,0.8761904762,1.081767558,0.7916666667,1.080547247,0.9047619048,0.163639
57,1.080734662,0.8857142857,1.081437685,0.7916666667,1.080187044,0.9047619048,0.417978
58,1.080391222,0.8857142857,1.081107737,0.7916666667,1.079826753,0.9047619048,0.172432
59,1.080047705,0.8857142857,1.080777712,0.7916666667,1.079466369,0.9047619048,0.164457
60,1.079704109,0.8952380952,1.080447606,0.8333333333,1.079105887,0.9047619048,0.424439
61,1.079360429,0.8952380952,1.080117413,0.875,1.078745304,0.9047619048,0.170473
62,1.07901666,0.9047619048,1.079787132,0.875,1.078384616,0.9047619048,0.169646
63,1.0786728,0.9142857143,1.079456756,0.875,1.078023818,0.9047619048,0.489467
64,1.078328844,0.9142857143,1.079126284,0.875,1.077662905,0.9047619048,0.183303
65,1.077984787,0.9142857143,1.07879571,0.875,1.077301875,0.9047619048,0.175809
66,1.077640626,0.9142857143,1.07846503,0.875,1.076940722,0.9047619048,0.427227
67,1.077296357,0.9142857143,1.078134241,0.875,1.076579442,0.9047619048,0.187853
68,1.076951975,0.9142857143,1.077803339,0.875,1.076218031,0.9047619048,0.170425
69,1.076607477,0.9142857143,1.077472318,0.875,1.075856484,0.9047619048,0.491458
70,1.076262857,0.9142857143,1.077141176,0.875,1.075494797,0.9047619048,0.181570
71,1.075918112,0.9238095238,1.076809908,0.875,1.075132966,0.9047619048,0.172116
72,1.075573237,0.9238095238,1.076478509,0.875,1.074770985,0.9047619048,0.453411
73,1.075228228,0.9238095238,1.076146976,0.875,1.074408851,0.9047619048,0.196601
74,1.074883081,0.9238095238,1.075815304,0.875,1.074046559,0.9047619048,0.185962
75,1.074537792,0.9238095238,1.075483488,0.875,1.073684104,0.9047619048,0.458821
76,1.074192354,0.9333333333,1.075151525,0.875,1.073321482,0.9047619048,0.184852
