epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
0,1.09993161,0.2095238095,1.100079122,0.25,1.100774702,0.09523809524,0.000000
1,1.099581749,0.219047619,1.099726633,0.25,1.100385954,0.09523809524,1.357913
2,1.099232902,0.2476190476,1.099375133,0.2916666667,1.099998444,0.1428571429,0.205358
3,1.098884874,0.2761904762,1.099024441,0.2916666667,1.099611968,0.1904761905,0.450506
4,1.098537472,0.3142857143,1.098674378,0.2916666667,1.099226323,0.1904761905,0.168092
5,1.098190509,0.3142857143,1.098324772,0.2916666667,1.098841313,0.1904761905,0.422366
6,1.097843801,0.3238095238,1.097975449,0.2916666667,1.098456746,0.2857142857,0.156131
7,1.097497165,0.3428571429,1.097626243,0.3333333333,1.098072434,0.2857142857,0.409845
8,1.097150422,0.3523809524,1.097276985,0.3333333333,1.097688189,0.3333333333,0.179955
9,1.096803395,0.3714285714,1.096927511,0.3333333333,1.097303829,0.380952381,0.175389
10,1.096455907,0.380952381,1.096577657,0.3333333333,1.096919172,0.380952381,0.419733
11,1.096107783,0.4095238095,1.09622726,0.3333333333,1.096534036,0.4285714286,0.170908
12,1.09575885,0.4571428571,1.095876158,0.375,1.096148244,0.4285714286,0.431873
13,1.095408932,0.4761904762,1.095524189,0.4583333333,1.095761616,0.4285714286,0.159181
14,1.095057858,0.4857142857,1.095171192,0.5,1.095373976,0.4285714286,0.423448
15,1.094705455,0.5142857143,1.094817006,0.5,1.094985147,0.4761904762,0.181112
16,1.09435155,0.5333333333,1.094461469,0.5416666667,1.094594952,0.4761904762,0.181974
17,1.093995969,0.5619047619,1.09410442,0.5416666667,1.094203215,0.619047619,0.418718
18,1.093638541,0.6095238095,1.093745697,0.5416666667,1.093809759,0.619047619,0.167375
19,1.093279092,0.6285714286,1.093385138,0.5416666667,1.093414408,0.6666666667,0.457658
20,1.092917448,0.6380952381,1.093022581,0.5416666667,1.093016985,0.6666666667,0.167070
21,1.092540376,0.6761904762,1.09265464,0.5833333333,1.09262635,0.7142857143,0.171928
22,1.092161658,0.6761904762,1.09228514,0.5833333333,1.092234176,0.7142857143,0.421740
23,1.091781192,0.6857142857,1.091913981,0.625,1.091840357,0.7142857143,0.172097
24,1.091398874,0.7142857143,1.091541064,0.6666666667,1.091444788,0.7619047619,0.432621
25,1.0910146,0.7333333333,1.09116629,0.6666666667,1.091047363,0.7619047619,0.165302
26,1.090628268,0.7523809524,1.090789558,0.7083333333,1.090647976,0.8095238095,0.166831
27,1.090239772,0.7714285714,1.090410768,0.7083333333,1.090246521,0.8095238095,0.440061
28,1.089849009,0.780952381,1.090029819,0.7083333333,1.089842892,0.8571428571,0.172549
29,1.089455874,0.8095238095,1.089646611,0.7083333333,1.089436983,0.8571428571,0.435489
30,1.089060261,0.819047619,1.089261042,0.7083333333,1.089028685,0.8571428571,0.155083
31,1.088662065,0.8380952381,1.088873011,0.7083333333,1.088617893,0.8571428571,0.178020
32,1.08826118,0.8380952381,1.088482413,0.7083333333,1.088204497,0.8571428571,0.424390
33,1.087857499,0.8380952381,1.088089148,0.7083333333,1.087788389,0.8571428571,0.168745
34,1.087450915,0.8476190476,1.087693111,0.75,1.087369461,0.8571428571,0.430692
35,1.08704132,0.8571428571,1.087294199,0.7916666667,1.086947604,0.8571428571,0.154432
36,1.086628607,0.8571428571,1.086892307,0.7916666667,1.086522706,0.8571428571,0.196449
37,1.086212665,0.8571428571,1.086487331,0.7916666667,1.086094659,0.8571428571,0.401301
38,1.085793387,0.8571428571,1.086079163,0.7916666667,1.085663351,0.8571428571,0.177837
39,1.085370662,0.8666666667,1.0856677,0.7916666667,1.085228669,0.8571428571,0.426422
