epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
0,1.098088258,0.3714285714,1.100467,0.3333333333,1.098591787,0.3333333333,0.000000
1,1.097006525,0.3619047619,1.099952248,0.3333333333,1.098336917,0.3333333333,4.001797
2,1.096123557,0.4285714286,1.099391382,0.375,1.098401866,0.2857142857,2.844028
3,1.095644128,0.4666666667,1.098959424,0.375,1.098439307,0.2857142857,2.705817
4,1.095119274,0.4571428571,1.098580984,0.375,1.098254163,0.2857142857,2.899781
5,1.094519815,0.4857142857,1.098357679,0.3333333333,1.098070188,0.3333333333,2.891187
6,1.094008234,0.5047619048,1.098197454,0.3333333333,1.097775907,0.3333333333,2.753629
7,1.093441344,0.5142857143,1.097672392,0.3333333333,1.097560865,0.3333333333,2.892416
8,1.093024355,0.5333333333,1.097446538,0.2916666667,1.097356562,0.380952381,2.844696
9,1.092727682,0.5333333333,1.097284327,0.2916666667,1.097105987,0.380952381,2.667753
10,1.092398649,0.5333333333,1.096512788,0.3333333333,1.097084507,0.3333333333,2.731913
11,1.092209817,0.4952380952,1.096772623,0.3333333333,1.096729036,0.3333333333,2.679856
12,1.091814544,0.5142857143,1.096141403,0.3333333333,1.096486069,0.3333333333,2.724023
13,1.091453971,0.5142857143,1.09614739,0.3333333333,1.096169276,0.3333333333,2.671395
14,1.090997124,0.5142857143,1.095678173,0.3333333333,1.095823079,0.380952381,2.727042
15,1.090630385,0.5523809524,1.095762124,0.3333333333,1.095421411,0.380952381,2.676646
16,1.090082375,0.5333333333,1.095311202,0.375,1.095018111,0.380952381,2.722638
17,1.089560877,0.5714285714,1.095257355,0.375,1.094568448,0.4285714286,2.677150
18,1.088954223,0.6,1.094909027,0.4166666667,1.094240998,0.4285714286,2.757271
19,1.088299938,0.6095238095,1.094728471,0.3333333333,1.093871258,0.4285714286,2.685910
20,1.087675076,0.6380952381,1.094136542,0.375,1.093454884,0.4285714286,2.739727
21,1.087165373,0.6571428571,1.09356096,0.4166666667,1.093217863,0.4285714286,2.721778
22,1.086698781,0.6571428571,1.093420687,0.375,1.092909875,0.4285714286,2.745179
23,1.08618612,0.6857142857,1.092551925,0.375,1.092729149,0.4285714286,2.675249
24,1.085797944,0.6761904762,1.092415317,0.375,1.092540494,0.4285714286,2.736015
25,1.085389098,0.6857142857,1.091858965,0.375,1.092362617,0.4285714286,2.681800
26,1.085025316,0.6857142857,1.091177242,0.375,1.092185721,0.4285714286,2.770374
27,1.084682147,0.6952380952,1.090881008,0.4166666667,1.092019785,0.4285714286,2.686589
28,1.084286735,0.7142857143,1.090008716,0.4166666667,1.091878937,0.4285714286,2.743058
29,1.083937089,0.7047619048,1.089714995,0.4166666667,1.091728175,0.4285714286,2.685081
30,1.083608833,0.7238095238,1.089499622,0.4166666667,1.091547386,0.4285714286,2.720684
31,1.083246445,0.7238095238,1.08911713,0.4166666667,1.091344571,0.4285714286,2.688385
32,1.082895964,0.7238095238,1.089067724,0.4166666667,1.091091217,0.4285714286,2.736540
33,1.082492459,0.7333333333,1.088530136,0.4166666667,1.090846135,0.4285714286,2.700151
34,1.08209928,0.7428571429,1.088483748,0.4166666667,1.090612633,0.4285714286,2.747226
35,1.081673352,0.7333333333,1.08829714,0.4166666667,1.09035454,0.4285714286,2.674167
