epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
0,1.098088258,0.3714285714,1.100467,0.3333333333,1.098591787,0.3333333333,0.000000
1,1.097711684,0.3714285714,1.100344821,0.3333333333,1.098506535,0.3333333333,4.059787
2,1.097402197,0.3714285714,1.10022109,0.3333333333,1.098462642,0.2857142857,2.865702
3,1.097140893,0.4285714286,1.100079986,0.3333333333,1.098555566,0.2857142857,2.699260
4,1.096928077,0.4285714286,1.100020831,0.375,1.098680435,0.2857142857,2.753330
5,1.096676869,0.4285714286,1.099937073,0.375,1.098826778,0.3333333333,2.692952
6,1.096426125,0.4285714286,1.099729012,0.3333333333,1.098776742,0.3333333333,2.744246
7,1.096214411,0.4380952381,1.099381992,0.3333333333,1.098756754,0.2857142857,2.701373
8,1.096038507,0.4476190476,1.09901534,0.3333333333,1.098728709,0.2857142857,2.753454
9,1.095899265,0.4571428571,1.09873107,0.4166666667,1.098685044,0.3333333333,2.737883
10,1.095720802,0.4476190476,1.098317446,0.375,1.098697449,0.3333333333,2.902278
11,1.095520771,0.4380952381,1.097955642,0.3333333333,1.098671064,0.3333333333,2.780535
12,1.095320967,0.4380952381,1.097506249,0.3333333333,1.098939065,0.3333333333,2.912764
13,1.095085759,0.4285714286,1.097290813,0.3333333333,1.099057899,0.3333333333,2.693893
14,1.09476213,0.419047619,1.09723194,0.3333333333,1.099212775,0.3333333333,2.753714
15,1.094440317,0.4571428571,1.097443609,0.3333333333,1.099372048,0.3333333333,2.708502
16,1.094142832,0.4761904762,1.097595671,0.3333333333,1.09917957,0.2857142857,2.774141
17,1.093903269,0.4857142857,1.097670857,0.3333333333,1.098932128,0.2857142857,2.764693
18,1.093678405,0.5047619048,1.09771575,0.3333333333,1.098659211,0.2857142857,2.943877
19,1.093428283,0.4952380952,1.097720963,0.3333333333,1.09822863,0.2857142857,2.874016
20,1.093187565,0.5142857143,1.097659612,0.3333333333,1.097837715,0.2857142857,2.764585
21,1.092997891,0.5142857143,1.097560341,0.2916666667,1.097678615,0.2857142857,2.719741
22,1.092850738,0.5047619048,1.097430478,0.3333333333,1.097499908,0.2857142857,2.794199
23,1.092680683,0.5047619048,1.097319075,0.2916666667,1.097257444,0.2380952381,2.713035
24,1.092524241,0.5142857143,1.097210766,0.3333333333,1.097008154,0.2380952381,2.765677
25,1.092371834,0.5238095238,1.097084009,0.3333333333,1.096799775,0.2380952381,2.921852
26,1.092226434,0.5238095238,1.096953271,0.2916666667,1.096621296,0.2380952381,3.015175
27,1.092071461,0.5238095238,1.096829362,0.2916666667,1.096449918,0.1904761905,2.746265
28,1.091918753,0.5238095238,1.096696446,0.2916666667,1.096270514,0.2380952381,2.779189
29,1.09177343,0.5142857143,1.09656273,0.2916666667,1.096121643,0.2380952381,2.741037
30,1.091610432,0.5238095238,1.096468679,0.2916666667,1.095953421,0.2380952381,3.109080
31,1.091444958,0.5333333333,1.09629259,0.2916666667,1.095774853,0.2380952381,2.735868
32,1.091280732,0.5333333333,1.096231398,0.2916666667,1.095565558,0.2380952381,2.768884
