epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
0,1.098088258,0.3714285714,1.100467,0.3333333333,1.098591787,0.3333333333,0.000000
1,1.097095017,0.3619047619,1.099932991,0.3333333333,1.098426123,0.3333333333,4.035222
2,1.097014061,0.3904761905,1.09985458,0.375,1.098360702,0.3333333333,2.751624
3,1.097050194,0.380952381,1.10019145,0.375,1.098321435,0.2857142857,2.679909
4,1.097243241,0.3523809524,1.100290655,0.3333333333,1.098525647,0.2380952381,2.866933
5,1.097354133,0.3619047619,1.100475307,0.3333333333,1.098608856,0.2380952381,2.970772
6,1.097423824,0.3523809524,1.10055216,0.375,1.098718234,0.2380952381,2.872544
7,1.097477009,0.3523809524,1.10050777,0.375,1.098782277,0.2380952381,2.754853
8,1.097516787,0.3714285714,1.100262068,0.4166666667,1.098897978,0.2380952381,2.964189
9,1.09754478,0.380952381,1.099959774,0.4166666667,1.099079442,0.2380952381,2.873066
10,1.097559023,0.3714285714,1.099682885,0.4166666667,1.099362543,0.2380952381,2.941849
11,1.096869418,0.3619047619,1.09909761,0.4166666667,1.099089762,0.2380952381,2.796584
12,1.096764279,0.3904761905,1.098723612,0.4166666667,1.099263252,0.2380952381,2.795936
13,1.096719746,0.3904761905,1.098535885,0.4166666667,1.09951414,0.2380952381,2.896158
14,1.096735662,0.4,1.098453128,0.375,1.099771021,0.2380952381,2.964573
15,1.096699671,0.4095238095,1.098574141,0.375,1.100050312,0.2857142857,3.042586
16,1.096651018,0.419047619,1.098803227,0.375,1.100339431,0.2857142857,3.022486
17,1.096610375,0.4285714286,1.099127413,0.375,1.100641359,0.3333333333,2.888664
18,1.096567438,0.4380952381,1.099467455,0.375,1.100976329,0.3333333333,2.747515
19,1.096535732,0.4380952381,1.099819561,0.375,1.101176548,0.3333333333,2.783466
20,1.096522807,0.4285714286,1.100152068,0.375,1.101134121,0.3333333333,3.011483
21,1.095694816,0.4380952381,1.099122549,0.375,1.100486529,0.3333333333,2.987440
22,1.095712002,0.4380952381,1.099124032,0.4166666667,1.100565792,0.3333333333,2.783404
23,1.095685368,0.4285714286,1.099101177,0.4583333333,1.100442114,0.3333333333,2.868738
24,1.095718918,0.4285714286,1.099120362,0.4166666667,1.100541109,0.3333333333,2.945048
25,1.095685737,0.4285714286,1.099086503,0.4583333333,1.100506025,0.3333333333,2.924226
26,1.095682459,0.4285714286,1.099080149,0.4583333333,1.100508314,0.2857142857,2.901174
27,1.095677233,0.4095238095,1.099075156,0.4583333333,1.100496182,0.2857142857,2.855077
28,1.095682957,0.4095238095,1.099084567,0.4583333333,1.100506435,0.2857142857,2.909392
29,1.095679655,0.4380952381,1.099090393,0.4583333333,1.10047237,0.2380952381,3.091672
30,1.095695063,0.4380952381,1.099088629,0.4583333333,1.100440079,0.2380952381,2.770112
31,1.094760411,0.4380952381,1.098742039,0.4166666667,1.099309795,0.2857142857,2.717447
32,1.094765551,0.4380952381,1.098672214,0.4166666667,1.099344975,0.3333333333,2.862616
33,1.094812164,0.4476190476,1.098718826,0.4166666667,1.099394131,0.3333333333,2.791821
34,1.094819394,0.4476190476,1.098725102,0.4166666667,1.099403243,0.3333333333,2.810405
35,1.094826498,0.4476190476,1.098731285,0.4166666667,1.09941212,0.3333333333,2.965509
36,1.094833342,0.4476190476,1.098737239,0.4166666667,1.099420641,0.3333333333,2.818803
37,1.09483984,0.4476190476,1.098742873,0.4166666667,1.099428731,0.3333333333,2.777266
38,1.09484594,0.4476190476,1.098748133,0.4166666667,1.099436346,0.3333333333,3.182822
39,1.094851616,0.4571428571,1.098752991,0.4166666667,1.099443452,0.3333333333,2.771689
40,1.09485686,0.4571428571,1.098757434,0.4166666667,1.099449725,0.3333333333,2.771266
41,1.094215237,0.4666666667,1.097309905,0.4166666667,1.098645564,0.3333333333,2.734851
42,1.094198644,0.4666666667,1.097295089,0.4583333333,1.09869999,0.3333333333,2.769821
43,1.094225342,0.4666666667,1.097324462,0.4583333333,1.098728614,0.3333333333,2.725936
44,1.09422221,0.4666666667,1.097319852,0.375,1.098727617,0.3333333333,2.753285
45,1.094219775,0.4666666667,1.097316015,0.375,1.098727194,0.3333333333,2.739052
46,1.094217881,0.4952380952,1.097312785,0.375,1.098727202,0.3333333333,2.806488
47,1.094216406,0.4857142857,1.097310033,0.375,1.098727532,0.3333333333,2.735045
48,1.094215254,0.4857142857,1.097307655,0.3333333333,1.098728099,0.3333333333,2.770378
49,1.094214351,0.4666666667,1.097305573,0.3333333333,1.098728839,0.3333333333,2.734096
50,1.094213639,0.4761904762,1.097303723,0.3333333333,1.098729702,0.3333333333,2.764938
51,1.093320125,0.4952380952,1.097098962,0.3333333333,1.09771543,0.3333333333,2.727528
52,1.093334439,0.5047619048,1.097087587,0.3333333333,1.097770454,0.3333333333,2.761627
53,1.093319257,0.4952380952,1.097031003,0.3333333333,1.09768633,0.3333333333,2.747569
54,1.093345114,0.5047619048,1.097040169,0.3333333333,1.097667563,0.3333333333,2.779757
55,1.093347832,0.4952380952,1.097040058,0.3333333333,1.097670429,0.3333333333,2.738659
56,1.093350558,0.4952380952,1.097039979,0.3333333333,1.097673225,0.3333333333,2.787186
57,1.093353259,0.4857142857,1.097039897,0.3333333333,1.097675925,0.3333333333,2.740140
58,1.093355913,0.4761904762,1.097039784,0.3333333333,1.097678516,0.3333333333,2.759009
59,1.093358501,0.4761904762,1.097039626,0.3333333333,1.097680989,0.3333333333,2.740406
60,1.093361017,0.4666666667,1.097039411,0.3333333333,1.097683342,0.3333333333,2.771962
61,1.092746237,0.4952380952,1.096273766,0.3333333333,1.096937075,0.3333333333,2.745910
62,1.092763525,0.4952380952,1.096283172,0.3333333333,1.097028154,0.3333333333,2.769444
63,1.092761889,0.4952380952,1.096295272,0.3333333333,1.096934683,0.3333333333,2.738447
64,1.092673583,0.5142857143,1.09619729,0.3333333333,1.096818578,0.3333333333,2.764341
65,1.092687433,0.5142857143,1.09619485,0.375,1.096865111,0.3333333333,2.754869
66,1.092682183,0.5238095238,1.096203299,0.375,1.096860309,0.380952381,2.770001
67,1.092688981,0.4952380952,1.096210801,0.4583333333,1.096897256,0.4285714286,2.750158
68,1.092704511,0.4857142857,1.096232368,0.4583333333,1.0969293,0.4285714286,2.797741
69,1.092715676,0.4857142857,1.096240364,0.4583333333,1.096939311,0.4285714286,2.745137
70,1.092726235,0.4571428571,1.096247774,0.4583333333,1.096948849,0.4285714286,2.768748
71,1.092086379,0.4857142857,1.095939757,0.4583333333,1.096082941,0.4285714286,2.749824
72,1.092056106,0.4761904762,1.095773379,0.4583333333,1.096065377,0.4285714286,2.801797
73,1.092072625,0.4761904762,1.095806424,0.4583333333,1.096118489,0.4285714286,2.744016
74,1.092069176,0.5142857143,1.095800242,0.4583333333,1.096115951,0.4285714286,2.774437
75,1.092067069,0.5142857143,1.095795449,0.4166666667,1.096114585,0.4285714286,2.750125
76,1.092065989,0.5238095238,1.095791726,0.375,1.096114095,0.4285714286,2.766351
77,1.092065693,0.5238095238,1.095788825,0.375,1.096114255,0.4285714286,2.763378
78,1.092065992,0.5238095238,1.095786552,0.3333333333,1.096114893,0.380952381,2.777792
79,1.09206674,0.5047619048,1.095784759,0.3333333333,1.096115876,0.380952381,2.745271
80,1.092067825,0.5142857143,1.095783329,0.3333333333,1.096117104,0.380952381,2.769143
81,1.091864094,0.5142857143,1.095092888,0.375,1.095521966,0.3333333333,2.746548
82,1.091892813,0.5047619048,1.09508955,0.375,1.095635636,0.3333333333,2.780221
83,1.09189249,0.5142857143,1.095093952,0.375,1.095605158,0.3333333333,2.744651
84,1.091844743,0.5142857143,1.095209515,0.375,1.095475468,0.3333333333,2.763409
85,1.091864143,0.5142857143,1.095222006,0.3333333333,1.095642315,0.3333333333,2.750534
86,1.092047743,0.5238095238,1.095764175,0.375,1.095887025,0.3333333333,2.776219
87,1.092052158,0.5238095238,1.095765633,0.375,1.095893566,0.3333333333,2.750092
88,1.092056763,0.5142857143,1.095767359,0.375,1.095900139,0.3333333333,2.772035
89,1.09206141,0.5047619048,1.095769197,0.375,1.095906614,0.3333333333,2.754079
90,1.092065993,0.5047619048,1.095771034,0.375,1.095912902,0.380952381,2.778261
91,1.091314093,0.5047619048,1.095517535,0.375,1.095442639,0.380952381,2.743195
92,1.09134626,0.5238095238,1.095424523,0.375,1.095660741,0.3333333333,2.771047
93,1.091367978,0.5142857143,1.095442599,0.375,1.095696437,0.3333333333,2.757196
94,1.091368165,0.5142857143,1.095458339,0.375,1.095624333,0.3333333333,2.772667
95,1.09125982,0.5238095238,1.095341496,0.375,1.095472865,0.3333333333,2.745650
96,1.091264603,0.5333333333,1.09533127,0.375,1.095512767,0.3333333333,2.794345
97,1.091277067,0.5238095238,1.095351746,0.375,1.095546173,0.380952381,2.776158
98,1.091281879,0.5333333333,1.095353283,0.375,1.09554912,0.380952381,2.768387
99,1.091286697,0.5428571429,1.095354838,0.375,1.095552232,0.4285714286,2.755204
100,1.091291448,0.5428571429,1.095356329,0.375,1.095555411,0.4285714286,2.776107
101,1.091023095,0.5428571429,1.094904017,0.375,1.095202239,0.3333333333,2.749180
102,1.091213516,0.5428571429,1.095018898,0.375,1.095276656,0.3333333333,2.775384
103,1.091173359,0.5523809524,1.094977622,0.375,1.095114754,0.380952381,2.751902
104,1.09117082,0.5333333333,1.094997993,0.375,1.095108125,0.380952381,2.783563
105,1.091180689,0.5523809524,1.095013027,0.375,1.095139682,0.4285714286,2.742049
106,1.091196476,0.5428571429,1.09503362,0.375,1.095168057,0.4285714286,2.776913
107,1.091210126,0.5333333333,1.095048469,0.375,1.095186438,0.4285714286,2.751143
108,1.091223351,0.5142857143,1.095062866,0.375,1.095204615,0.380952381,2.773635
109,1.091234148,0.5142857143,1.095071614,0.4166666667,1.095214597,0.380952381,2.751457
110,1.091244253,0.5142857143,1.09507969,0.4166666667,1.095224014,0.380952381,2.777107
111,1.090727045,0.5333333333,1.095216852,0.4166666667,1.094709239,0.4761904762,2.776750
112,1.090696742,0.5238095238,1.09519435,0.4166666667,1.094755326,0.4761904762,2.774174
113,1.09063627,0.5142857143,1.095113465,0.4166666667,1.094583411,0.4761904762,2.754853
114,1.090629084,0.5142857143,1.095103741,0.4583333333,1.094586554,0.4285714286,2.778189
115,1.090644299,0.4857142857,1.095120914,0.4583333333,1.094611279,0.4285714286,2.761360
116,1.09065659,0.4857142857,1.095132591,0.4583333333,1.094627907,0.4285714286,2.770039
117,1.090665949,0.4857142857,1.095138815,0.4583333333,1.094636094,0.4285714286,2.763721
118,1.090674641,0.4761904762,1.095144395,0.4583333333,1.094643703,0.4285714286,2.776044
119,1.090682695,0.4761904762,1.095149366,0.4583333333,1.094650758,0.4285714286,2.755991
120,1.090690153,0.4761904762,1.095153763,0.4583333333,1.094657291,0.4285714286,2.773732
121,1.090375519,0.4857142857,1.094492126,0.4583333333,1.094464142,0.4285714286,2.761957
122,1.090286881,0.5333333333,1.094502849,0.4166666667,1.094486292,0.4761904762,2.803785
123,1.090303108,0.5619047619,1.094523285,0.375,1.094487723,0.4761904762,2.751196
124,1.090293615,0.5523809524,1.09454631,0.375,1.09436342,0.4285714286,2.774109
125,1.090332993,0.5619047619,1.094581674,0.375,1.094452129,0.4761904762,2.753779
126,1.090334672,0.5523809524,1.094577272,0.375,1.094454345,0.4285714286,2.778771
127,1.090337207,0.5333333333,1.094573802,0.4166666667,1.094457222,0.4285714286,2.752056
128,1.090340582,0.5428571429,1.094571364,0.4166666667,1.094460601,0.4285714286,2.771696
