epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
0,1.098088258,0.3714285714,1.100467,0.3333333333,1.098591787,0.3333333333,0.000000
1,1.097687503,0.3714285714,1.100324555,0.3333333333,1.098497478,0.3333333333,3.991266
2,1.097668798,0.3714285714,1.100287854,0.3333333333,1.098517669,0.3333333333,2.957833
3,1.097675407,0.3714285714,1.100279025,0.3333333333,1.0985283,0.3333333333,2.698369
4,1.09767825,0.3714285714,1.100281637,0.3333333333,1.098594646,0.3333333333,2.902567
5,1.097685896,0.3523809524,1.100294404,0.3333333333,1.098631918,0.3333333333,2.741788
6,1.09773129,0.3523809524,1.10028986,0.3333333333,1.098730721,0.2857142857,2.722743
7,1.097739285,0.3428571429,1.100280869,0.3333333333,1.098789016,0.1428571429,2.655366
8,1.097740022,0.3523809524,1.100312261,0.375,1.098862908,0.1904761905,2.841475
9,1.097721033,0.3523809524,1.100366744,0.375,1.098885193,0.1904761905,2.861471
10,1.097725894,0.3428571429,1.100400625,0.375,1.098906443,0.2380952381,2.839995
11,1.097405677,0.380952381,1.10015754,0.375,1.098910547,0.1904761905,2.999093
12,1.097427,0.3714285714,1.100057952,0.375,1.099007905,0.1904761905,3.044937
13,1.097421227,0.3904761905,1.099949838,0.375,1.099134954,0.2380952381,2.845313
14,1.097446098,0.380952381,1.099838904,0.375,1.099217689,0.1904761905,2.916205
15,1.097355929,0.380952381,1.099750626,0.375,1.099339693,0.1904761905,2.815746
16,1.097389898,0.3714285714,1.099672777,0.375,1.099454758,0.1904761905,2.854592
17,1.097405433,0.3714285714,1.099616839,0.375,1.099542175,0.1904761905,2.803450
18,1.097493777,0.3714285714,1.099568763,0.375,1.099612005,0.1904761905,2.846555
19,1.097535917,0.3619047619,1.099480994,0.375,1.099706179,0.1904761905,2.810711
20,1.097564671,0.3619047619,1.099403033,0.375,1.099848444,0.1904761905,2.862639
21,1.097235197,0.3714285714,1.099314437,0.375,1.09972126,0.2380952381,2.812991
22,1.097228646,0.380952381,1.099359748,0.375,1.099703318,0.1904761905,2.901711
23,1.097228825,0.3714285714,1.099511025,0.375,1.099738536,0.1904761905,2.798478
