epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
0,1.098088258,0.3714285714,1.100467,0.3333333333,1.098591787,0.3333333333,0.000000
1,1.097096094,0.3619047619,1.099920404,0.3333333333,1.098413028,0.3333333333,4.023799
2,1.09616118,0.4380952381,1.099411546,0.375,1.098466146,0.2857142857,2.967284
3,1.09561252,0.4666666667,1.098888007,0.375,1.098565499,0.2857142857,2.895606
4,1.095141634,0.4571428571,1.098651005,0.375,1.098419157,0.3333333333,2.762206
5,1.094622301,0.4761904762,1.098423164,0.3333333333,1.09815172,0.3333333333,2.739178
6,1.09413749,0.5047619048,1.098104535,0.3333333333,1.098028154,0.3333333333,2.739049
7,1.093713887,0.5238095238,1.097713517,0.2916666667,1.097738514,0.3333333333,2.692071
8,1.093420256,0.4857142857,1.097422474,0.2916666667,1.097543392,0.3333333333,2.800277
9,1.092961983,0.4952380952,1.096645801,0.3333333333,1.097293621,0.3333333333,2.713777
10,1.092577855,0.5047619048,1.096631175,0.375,1.096916357,0.3333333333,2.764704
11,1.092181134,0.5047619048,1.096198845,0.375,1.096603797,0.3333333333,2.769921
12,1.091862102,0.5142857143,1.09586547,0.375,1.096146662,0.3333333333,2.865726
13,1.0915414,0.5238095238,1.095302508,0.4166666667,1.095945358,0.380952381,2.714567
14,1.09110865,0.5333333333,1.0949812,0.4166666667,1.095619368,0.380952381,2.749963
15,1.09073058,0.5523809524,1.094812637,0.4166666667,1.095218329,0.380952381,2.705055
16,1.090299391,0.5428571429,1.094455337,0.4583333333,1.094959351,0.380952381,2.762911
17,1.089770305,0.5428571429,1.094025997,0.4583333333,1.094713489,0.380952381,2.701974
18,1.089139396,0.5714285714,1.093176485,0.4583333333,1.094397697,0.380952381,2.753298
19,1.088776205,0.580952381,1.093593585,0.4166666667,1.093995753,0.380952381,2.699591
20,1.0881321,0.5904761905,1.092632912,0.4166666667,1.09396954,0.380952381,2.746081
21,1.08759701,0.5904761905,1.092958344,0.4583333333,1.093422425,0.4285714286,2.952289
22,1.086863263,0.6285714286,1.092072453,0.4166666667,1.093375951,0.4285714286,3.276324
23,1.08615577,0.6476190476,1.092099153,0.4166666667,1.092684632,0.4285714286,2.731222
24,1.085519172,0.6952380952,1.091519513,0.4166666667,1.092269513,0.4761904762,2.938831
25,1.085049945,0.6952380952,1.090944459,0.4583333333,1.091991208,0.4761904762,2.816030
26,1.084556072,0.6952380952,1.090074462,0.5,1.092043664,0.4761904762,2.875743
27,1.084070665,0.6857142857,1.089639098,0.4583333333,1.091503088,0.4761904762,2.819764
28,1.08369405,0.6857142857,1.089349776,0.4166666667,1.091047189,0.4761904762,2.872937
29,1.083279318,0.7142857143,1.088338641,0.4583333333,1.091043443,0.4761904762,2.826153
30,1.082804114,0.7238095238,1.087841883,0.4166666667,1.09066039,0.4761904762,2.879876
31,1.082329144,0.7333333333,1.087678991,0.4166666667,1.090418347,0.4761904762,2.830838
