epoch,loss_train,acc_train,loss_val,acc_val,loss_test,acc_test,time_epoch_s
0,1.098088258,0.3714285714,1.100467,0.3333333333,1.098591787,0.3333333333,0.000000
1,1.097001707,0.3619047619,1.09993924,0.3333333333,1.098327036,0.380952381,4.100875
2,1.096121433,0.419047619,1.099388694,0.375,1.098356242,0.380952381,2.755598
3,1.095590912,0.4666666667,1.098740692,0.375,1.098353204,0.2857142857,2.840792
4,1.09510207,0.4571428571,1.098080161,0.375,1.098116908,0.2857142857,2.775720
5,1.094569217,0.4476190476,1.097565757,0.375,1.09806825,0.3333333333,2.677040
6,1.093962772,0.4666666667,1.097462657,0.375,1.09788492,0.3333333333,2.753921
7,1.093494772,0.4857142857,1.097345708,0.3333333333,1.097709034,0.3333333333,2.705400
8,1.093079531,0.5047619048,1.097038918,0.3333333333,1.097344484,0.3333333333,2.742054
9,1.092673283,0.5238095238,1.096884669,0.3333333333,1.097262584,0.3333333333,2.668331
10,1.092234542,0.5428571429,1.096545652,0.2916666667,1.096989205,0.3333333333,2.734263
11,1.091847911,0.5238095238,1.096517839,0.2916666667,1.096706927,0.3333333333,2.672446
12,1.091330682,0.5142857143,1.09619922,0.3333333333,1.096346818,0.3333333333,2.735059
13,1.091010029,0.5333333333,1.09651167,0.2916666667,1.096002524,0.3333333333,2.674336
14,1.090321702,0.5238095238,1.096102301,0.3333333333,1.09564525,0.4285714286,2.736933
15,1.089752453,0.5904761905,1.095765085,0.3333333333,1.095237163,0.4285714286,2.661485
16,1.089142493,0.6,1.095017153,0.375,1.094886811,0.4285714286,2.728104
17,1.088598731,0.6095238095,1.09490811,0.375,1.094347465,0.4285714286,2.675228
18,1.088128554,0.6095238095,1.094158521,0.4166666667,1.094140638,0.4285714286,2.728052
19,1.087763922,0.6285714286,1.093935615,0.375,1.093774426,0.4285714286,2.680073
20,1.087367215,0.6285714286,1.093174398,0.375,1.093565496,0.4285714286,2.729814
21,1.087032841,0.6285714286,1.092959434,0.375,1.093290535,0.4285714286,2.696914
22,1.086608013,0.6666666667,1.092174669,0.375,1.093103205,0.4285714286,2.747495
23,1.086292763,0.6571428571,1.092272746,0.375,1.092778775,0.4285714286,2.698785
24,1.085854222,0.6666666667,1.091788385,0.4166666667,1.0925449,0.4285714286,2.727811
25,1.085441693,0.6761904762,1.091170765,0.4166666667,1.092341231,0.4285714286,2.677142
26,1.085093479,0.6761904762,1.091010481,0.4166666667,1.09210388,0.4285714286,2.737705
27,1.08467107,0.6857142857,1.090335154,0.4166666667,1.091917774,0.4285714286,2.678474
28,1.084357091,0.6857142857,1.090041171,0.4166666667,1.091646125,0.4285714286,2.734889
29,1.084029277,0.6857142857,1.089803769,0.4166666667,1.091431009,0.4285714286,2.677373
30,1.083658894,0.6952380952,1.089339989,0.4166666667,1.091091004,0.4285714286,2.734349
31,1.083304928,0.6952380952,1.089168641,0.4166666667,1.090835249,0.4285714286,2.682144
32,1.082905767,0.6952380952,1.088958069,0.4166666667,1.090465696,0.4285714286,2.736215
33,1.082463263,0.6857142857,1.088548689,0.4166666667,1.090168094,0.4285714286,2.677772
34,1.082011176,0.6857142857,1.088181579,0.4166666667,1.089949792,0.4761904762,2.732130
35,1.081535468,0.6761904762,1.087893299,0.4166666667,1.089687254,0.4761904762,2.684409
36,1.081159801,0.6761904762,1.087691498,0.4583333333,1.089397376,0.4761904762,2.728553
37,1.0806703,0.6761904762,1.087308953,0.4583333333,1.089119112,0.4761904762,2.678449
38,1.08021469,0.6761904762,1.086766699,0.5,1.088941928,0.4761904762,2.736113
39,1.079758723,0.6666666667,1.086555732,0.5,1.088619458,0.4761904762,2.682072
40,1.079367016,0.6666666667,1.086381207,0.5,1.088467272,0.4761904762,2.737028
41,1.078983727,0.6666666667,1.086035013,0.5,1.088343757,0.4761904762,2.674709
42,1.078562216,0.6761904762,1.085762863,0.5,1.087975229,0.4761904762,2.735647
43,1.078144225,0.6952380952,1.085390952,0.5416666667,1.087749056,0.5714285714,2.694502
44,1.077666333,0.6857142857,1.085113246,0.5416666667,1.087377157,0.5238095238,2.738634
45,1.077238194,0.6952380952,1.084824426,0.5833333333,1.087097997,0.5238095238,2.690551
46,1.07676979,0.7047619048,1.084415206,0.5833333333,1.086732233,0.4761904762,2.730290
47,1.07632468,0.7047619048,1.084158247,0.5833333333,1.086437754,0.5238095238,2.684814
48,1.075916864,0.7142857143,1.083674968,0.5833333333,1.086085883,0.4761904762,2.749843
49,1.07544545,0.7142857143,1.083323749,0.625,1.085923729,0.5238095238,2.684708
50,1.075009187,0.7333333333,1.082865829,0.625,1.085639654,0.4761904762,2.734950
51,1.074505787,0.7523809524,1.082517728,0.625,1.085381871,0.5714285714,2.691753
52,1.074147483,0.7428571429,1.082067453,0.625,1.085063979,0.5238095238,2.733343
53,1.073582337,0.7428571429,1.081666811,0.625,1.084911576,0.5238095238,2.690376
54,1.073134403,0.7333333333,1.081136261,0.625,1.084390494,0.5238095238,2.736170
55,1.072555399,0.7428571429,1.080868968,0.625,1.084008184,0.5238095238,2.692374
56,1.072072797,0.7523809524,1.08029916,0.625,1.083788074,0.5238095238,2.734454
57,1.071460001,0.7428571429,1.07998434,0.625,1.083306763,0.5238095238,2.687741
58,1.070917912,0.7428571429,1.079725437,0.625,1.083154629,0.5238095238,2.733527
59,1.070387531,0.7619047619,1.079345884,0.625,1.0828247,0.5238095238,2.694159
60,1.069853546,0.7619047619,1.078707511,0.625,1.082297166,0.5238095238,2.719900
61,1.06919318,0.7619047619,1.078560233,0.625,1.081914323,0.5238095238,2.686292
62,1.068602912,0.7714285714,1.078368019,0.5833333333,1.081855357,0.5238095238,2.729126
63,1.068042436,0.7714285714,1.078362297,0.5416666667,1.081498773,0.5238095238,2.693775
64,1.067464149,0.7714285714,1.078063587,0.5416666667,1.081284583,0.4761904762,2.731883
65,1.066677244,0.780952381,1.07762688,0.5416666667,1.081063674,0.4761904762,2.713228
66,1.06610037,0.780952381,1.077126422,0.5833333333,1.08088863,0.4761904762,2.761896
67,1.065381308,0.7714285714,1.076394321,0.5833333333,1.080294445,0.4761904762,2.696789
68,1.064632386,0.7714285714,1.076339462,0.5833333333,1.079899725,0.4761904762,2.740350
69,1.064002658,0.7904761905,1.075869647,0.5833333333,1.079696233,0.4761904762,2.701563
70,1.063250739,0.7904761905,1.074990409,0.5833333333,1.079122843,0.4761904762,2.733068
71,1.062509348,0.8,1.074767787,0.5833333333,1.078629206,0.5714285714,2.704714
72,1.061841661,0.8,1.073941192,0.5833333333,1.078297206,0.5714285714,2.738236
73,1.061103268,0.7904761905,1.073507074,0.5833333333,1.077729363,0.5714285714,2.706653
74,1.060341365,0.8,1.072525205,0.5833333333,1.077404354,0.5714285714,2.762380
75,1.059542666,0.7904761905,1.07239978,0.5833333333,1.076904889,0.5714285714,2.721320
76,1.058833031,0.8,1.071470704,0.5833333333,1.076564838,0.5714285714,2.739675
77,1.05805804,0.7904761905,1.071133421,0.5833333333,1.076094804,0.5714285714,2.697020
78,1.057281202,0.7904761905,1.070472103,0.5833333333,1.075934871,0.5714285714,2.740649
79,1.056506006,0.7904761905,1.070108546,0.5833333333,1.075398794,0.5714285714,2.697180
80,1.05563056,0.8,1.069114666,0.5833333333,1.075025074,0.5714285714,2.746493
81,1.054744123,0.8,1.068868009,0.5833333333,1.074552612,0.5714285714,2.695998
82,1.05385559,0.8095238095,1.067970225,0.5833333333,1.073941505,0.619047619,2.739510
83,1.053045148,0.8095238095,1.067446442,0.5833333333,1.07362555,0.6666666667,2.700903
84,1.052229043,0.8095238095,1.066731222,0.5833333333,1.07314434,0.619047619,2.733495
85,1.051284825,0.8095238095,1.065849748,0.6666666667,1.072551804,0.619047619,2.706507
86,1.050411168,0.8095238095,1.065058436,0.6666666667,1.072106854,0.6666666667,2.739229
87,1.04954608,0.8095238095,1.064150504,0.6666666667,1.071170277,0.619047619,2.706993
88,1.048802794,0.8095238095,1.063796451,0.7083333333,1.070835425,0.619047619,2.733795
89,1.047659174,0.8095238095,1.06259694,0.7083333333,1.069818622,0.619047619,2.685470
90,1.046873882,0.819047619,1.061931937,0.7083333333,1.069098094,0.619047619,2.731851
91,1.045984546,0.8285714286,1.06124998,0.7083333333,1.06843032,0.5714285714,2.801336
92,1.04514142,0.8285714286,1.06030945,0.7083333333,1.067741821,0.619047619,2.971864
93,1.044226815,0.8285714286,1.059729809,0.7083333333,1.066809738,0.619047619,3.040515
94,1.043067176,0.8285714286,1.05887965,0.7083333333,1.065891841,0.619047619,2.919376
95,1.042274067,0.8285714286,1.058049069,0.7083333333,1.065463323,0.619047619,2.883380
