epoch,loss_train_1l,acc_train_1l,loss_val_1l,acc_val_1l,loss_test_1l,acc_test_1l,time_epoch_s_1l,loss_train_2l,acc_train_2l,loss_val_2l,acc_val_2l,loss_test_2l,acc_test_2l,time_epoch_s_2l
0,1.09993161,0.2095238095,1.100079122,0.25,1.100774702,0.09523809524,0,1.098088258,0.3714285714,1.100467,0.3333333333,1.098591787,0.3333333333,0
1,1.099581749,0.219047619,1.099726633,0.25,1.100385954,0.09523809524,1.313073,1.097001707,0.3619047619,1.09993924,0.3333333333,1.098327036,0.380952381,4.035076
2,1.099232902,0.2476190476,1.099375133,0.2916666667,1.099998444,0.1428571429,0.209983,1.096121433,0.419047619,1.099388694,0.375,1.098356242,0.380952381,2.761585
3,1.098884874,0.2761904762,1.099024441,0.2916666667,1.099611968,0.1904761905,0.424103,1.095590912,0.4666666667,1.098740692,0.375,1.098353204,0.2857142857,2.661179
4,1.098537472,0.3142857143,1.098674378,0.2916666667,1.099226323,0.1904761905,0.158292,1.09510207,0.4571428571,1.098080161,0.375,1.098116908,0.2857142857,2.721649
5,1.098190509,0.3142857143,1.098324772,0.2916666667,1.098841313,0.1904761905,0.410928,1.094569217,0.4476190476,1.097565757,0.375,1.09806825,0.3333333333,2.701146
6,1.097843801,0.3238095238,1.097975449,0.2916666667,1.098456746,0.2857142857,0.187086,1.093962772,0.4666666667,1.097462657,0.375,1.09788492,0.3333333333,2.733706
7,1.097497165,0.3428571429,1.097626243,0.3333333333,1.098072434,0.2857142857,0.170074,1.093494772,0.4857142857,1.097345708,0.3333333333,1.097709034,0.3333333333,2.690068
8,1.097150422,0.3523809524,1.097276985,0.3333333333,1.097688189,0.3333333333,0.408633,1.093079531,0.5047619048,1.097038918,0.3333333333,1.097344484,0.3333333333,3.063145
9,1.096803395,0.3714285714,1.096927511,0.3333333333,1.097303829,0.380952381,0.15772,1.092673283,0.5238095238,1.096884669,0.3333333333,1.097262584,0.3333333333,2.876023
10,1.096455907,0.380952381,1.096577657,0.3333333333,1.096919172,0.380952381,0.155349,1.092234542,0.5428571429,1.096545652,0.2916666667,1.096989205,0.3333333333,2.936283
11,1.096107783,0.4095238095,1.09622726,0.3333333333,1.096534036,0.4285714286,0.403645,1.091847911,0.5238095238,1.096517839,0.2916666667,1.096706927,0.3333333333,3.010773
12,1.09575885,0.4571428571,1.095876158,0.375,1.096148244,0.4285714286,0.155401,1.091330682,0.5142857143,1.09619922,0.3333333333,1.096346818,0.3333333333,3.027821
13,1.095408932,0.4761904762,1.095524189,0.4583333333,1.095761616,0.4285714286,0.156766,1.091010029,0.5333333333,1.09651167,0.2916666667,1.096002524,0.3333333333,2.85184
14,1.095057858,0.4857142857,1.095171192,0.5,1.095373976,0.4285714286,0.406692,1.090321702,0.5238095238,1.096102301,0.3333333333,1.09564525,0.4285714286,2.992583
15,1.094705455,0.5142857143,1.094817006,0.5,1.094985147,0.4761904762,0.168145,1.089752453,0.5904761905,1.095765085,0.3333333333,1.095237163,0.4285714286,2.822795
16,1.09435155,0.5333333333,1.094461469,0.5416666667,1.094594952,0.4761904762,0.162237,1.089142493,0.6,1.095017153,0.375,1.094886811,0.4285714286,2.813359
17,1.093995969,0.5619047619,1.09410442,0.5416666667,1.094203215,0.619047619,0.40352,1.088598731,0.6095238095,1.09490811,0.375,1.094347465,0.4285714286,2.678511
18,1.093638541,0.6095238095,1.093745697,0.5416666667,1.093809759,0.619047619,0.159526,1.088128554,0.6095238095,1.094158521,0.4166666667,1.094140638,0.4285714286,2.801784
19,1.093279092,0.6285714286,1.093385138,0.5416666667,1.093414408,0.6666666667,0.155542,1.087763922,0.6285714286,1.093935615,0.375,1.093774426,0.4285714286,2.822668
20,1.092917448,0.6380952381,1.093022581,0.5416666667,1.093016985,0.6666666667,0.409623,1.087367215,0.6285714286,1.093174398,0.375,1.093565496,0.4285714286,2.843161
21,1.092540376,0.6761904762,1.09265464,0.5833333333,1.09262635,0.7142857143,0.15934,1.087032841,0.6285714286,1.092959434,0.375,1.093290535,0.4285714286,2.798813
22,1.092161658,0.6761904762,1.09228514,0.5833333333,1.092234176,0.7142857143,0.160969,1.086608013,0.6666666667,1.092174669,0.375,1.093103205,0.4285714286,2.817308
23,1.091781192,0.6857142857,1.091913981,0.625,1.091840357,0.7142857143,0.40253,1.086292763,0.6571428571,1.092272746,0.375,1.092778775,0.4285714286,2.711547
24,1.091398874,0.7142857143,1.091541064,0.6666666667,1.091444788,0.7619047619,0.164841,1.085854222,0.6666666667,1.091788385,0.4166666667,1.0925449,0.4285714286,2.745706
